iter	Passed	Remaining
0	1	583
1	6	962
2	10	993
3	14	1041
4	17	1024
5	20	980
6	22	947
7	25	920
8	27	894
9	30	874
10	33	867
11	35	861
12	39	866
13	42	866
14	45	857
15	47	846
16	50	835
17	53	844
18	57	845
19	60	841
20	62	832
21	66	834
22	68	825
23	71	817
24	72	798
25	75	795
26	78	795
27	81	788
28	82	772
29	85	773
30	88	770
31	91	763
32	93	758
33	96	755
34	99	755
35	100	738
36	103	738
37	106	737
38	109	732
39	111	727
40	114	722
41	116	716
42	119	711
43	121	706
44	124	706
45	127	706
46	130	701
47	133	698
48	135	693
49	137	689
50	141	688
51	144	688
52	147	688
53	150	684
54	153	682
55	156	680
56	159	678
57	161	673
58	163	668
59	166	664
60	168	660
61	170	656
62	173	652
63	175	647
64	178	643
65	180	639
66	183	637
67	186	637
68	190	636
69	193	634
70	196	632
71	199	630
72	202	628
73	204	626
74	207	623
75	210	621
76	214	621
77	219	625
78	224	629
79	228	627
80	231	626
81	234	623
82	236	619
83	239	615
84	241	610
85	244	609
86	247	607
87	250	602
88	252	599
89	255	595
90	257	591
91	259	587
92	262	583
93	264	579
94	266	575
95	269	571
96	271	568
97	275	567
98	278	565
99	281	563
100	284	560
101	287	558
102	290	556
103	293	553
104	297	551
105	300	549
106	304	549
107	308	548
108	311	545
109	314	542
110	317	540
111	321	539
112	324	536
113	326	532
114	328	529
115	331	525
116	335	525
117	338	522
118	340	518
119	343	514
120	345	511
121	348	508
122	350	505
123	353	502
124	356	498
125	358	495
126	362	493
127	365	491
128	368	488
129	371	486
130	374	482
131	376	479
132	378	475
133	381	472
134	383	468
135	385	465
136	388	462
137	390	458
138	394	456
139	397	454
140	399	450
141	402	447
142	404	444
143	408	442
144	411	439
145	414	437
146	417	434
147	420	431
148	423	429
149	426	426
150	428	422
151	430	419
152	433	416
153	436	413
154	439	411
155	442	408
156	444	404
157	446	401
158	450	399
159	454	397
160	456	393
161	459	391
162	462	388
163	465	386
164	468	383
165	470	379
166	472	376
167	475	373
168	478	370
169	481	368
170	484	365
171	487	362
172	489	359
173	491	356
174	495	354
175	499	351
176	502	349
177	505	346
178	508	343
179	510	340
180	514	338
181	516	335
182	519	332
183	522	329
184	525	326
185	528	323
186	530	320
187	533	317
188	536	314
189	539	312
190	543	310
191	546	307
192	549	304
193	552	301
194	555	299
195	557	296
196	560	292
197	562	289
198	565	287
199	568	284
200	571	281
201	574	278
202	576	275
203	579	272
204	583	270
205	586	267
206	589	265
207	592	262
208	595	259
209	597	256
210	600	253
211	603	250
212	607	247
213	610	245
214	612	242
215	615	239
216	617	236
217	619	233
218	622	230
219	626	227
220	629	225
221	632	222
222	636	219
223	639	216
224	642	214
225	645	211
226	647	208
227	649	205
228	652	202
229	654	199
230	657	196
231	659	193
232	662	190
233	664	187
234	667	184
235	671	182
236	673	179
237	676	176
238	678	173
239	681	170
240	683	167
241	685	164
242	688	161
243	690	158
244	693	155
245	697	153
246	699	150
247	702	147
248	704	144
249	707	141
250	709	138
251	713	135
252	717	133
253	720	130
254	724	127
255	728	125
256	730	122
257	733	119
258	735	116
259	738	113
260	740	110
261	743	107
262	745	104
263	747	101
264	750	99
265	752	96
266	756	93
267	759	90
268	762	87
269	764	84
270	766	82
271	769	79
272	772	76
273	775	73
274	777	70
275	780	67
276	782	64
277	785	62
278	787	59
279	790	56
280	792	53
281	795	50
282	797	47
283	799	45
284	802	42
285	805	39
286	808	36
287	809	33
288	813	30
289	816	28
290	819	25
291	821	22
292	824	19
293	827	16
294	829	14
295	831	11
296	834	8
297	836	5
298	839	2
299	842	0
