time,TR_000,TR_001,TR_002,TR_003,TR_004,TR_005,TR_006,TR_007,TR_008,TR_009,TR_010,TR_011,TR_012,TR_013,TR_014,TR_015,TR_016,TR_017,TR_018,TR_019,TR_020,TR_021,TR_022,TR_023,TR_024,TR_025,TR_026,TR_027,TR_028,TR_029,TR_030,TR_031,TR_032,TR_033,TR_034,TR_035,TR_036,TR_037,TR_038,TR_039,TR_040,TR_041,TR_042,TR_043,TR_044,TR_045,TR_046,TR_047,TR_048,TR_049,TR_050,TR_051,TR_052,TR_053,TR_054,TR_055,TR_056,TR_057,TR_058,TR_059,TR_060,TR_061,TR_062,TR_063,TR_064,TR_065,TR_066,TR_067,TR_068,TR_069,TR_070,TR_071,TR_072,TR_073,TR_074,TR_075,TR_076,TR_077,TR_078,TR_079,TR_080,TR_081,TR_082,TR_083,TR_084,TR_085,TR_086,TR_087,TR_088,TR_089,TR_090,TR_091,TR_092,TR_093,TR_094,TR_095,TR_096,TR_097,TR_098,TR_099,TR_100,TR_101,TR_102,TR_103,TR_104,TR_105,TR_106,TR_107,TR_108,TR_109,TR_110,TR_111,TR_112,TR_113,TR_114,TR_115,TR_116,TR_117,TR_118,TR_119,TR_120,TR_121,TR_122,TR_123,TR_124,TR_125,TR_126,TR_127,TR_128,TR_129,TR_130,TR_131,TR_132,TR_133,TR_134,TR_135,TR_136,TR_137,TR_138,TR_139,TR_140,TR_141,TR_142,TR_143,TR_144,TR_145,TR_146,TR_147,TR_148,TR_149,TR_150,TR_151,TR_152,TR_153,TR_154,TR_155,TR_156,TR_157,TR_158,TR_159,TR_160,TR_161,TR_162,TR_163,TR_164,TR_165,TR_166,TR_167,TR_168,TR_169,TR_170,TR_171,TR_172,TR_173,TR_174,TR_175,TR_176,TR_177,TR_178,TR_179,TR_180,TR_181,TR_182,TR_183,TR_184,TR_185,TR_186,TR_187,TR_188,TR_189,TR_190,TR_191,TR_192,TR_193,TR_194,TR_195,TR_196,TR_197,TR_198,TR_199
01/01/2000 00:00:00,12.307926,12.135647,11.958131,11.7752,11.586732,11.394246,11.196124,10.99054,10.780879,10.562407,10.338768,10.10853,9.871034,9.625295,9.372944,9.109301,8.840433,8.560917,8.270765,7.970273,7.660716,7.338845,7.005224,6.65679,6.298345,5.924272,5.536718,5.132502,4.71243,4.274934,3.821123,3.349527,2.858397,2.34977,1.819497,1.270353,0.699667,0.111515,-0.496549,-1.121608,-1.765871,-2.424213,-3.097437,-3.779791,-4.46869,-5.162984,-5.857852,-6.5471,-7.228178,-7.894814,-8.542986,-9.168364,-9.768071,-10.337948,-10.875456,-11.376205,-11.842199,-12.271297,-12.662885,-13.01843,-13.337989,-13.623791,-13.874529,-14.095474,-14.288772,-14.451604,-14.591863,-14.706313,-14.799639,-14.874567,-14.928362,-14.967909,-14.990625,-14.999374,-14.995071,-14.980417,-14.952097,-14.914926,-14.869563,-14.812792,-14.750965,-14.679632,-14.601732,-14.517805,-14.426544,-14.330495,-14.22771,-14.120346,-14.007812,-13.890328,-13.767602,-13.641782,-13.509582,-13.372979,-13.232775,-13.087475,-12.936481,-12.783188,-12.624161,-12.460624,-12.290976,-12.117438,-11.939173,-11.755058,-11.567659,-11.371963,-11.173736,-10.96623,-10.754705,-10.537517,-10.312378,-10.080456,-9.840135,-9.592472,-9.338378,-9.075596,-8.802185,-8.520704,-8.229858,-7.927181,-7.615604,-7.2906,-6.95323,-6.605679,-6.242716,-5.865266,-5.473376,-5.066446,-4.644585,-4.204354,-3.747314,-3.271143,-2.776619,-2.263871,-1.730162,-1.176727,-0.603305,-0.011611,0.598392,1.22862,1.873494,2.534945,3.206319,3.890296,4.579614,5.272516,5.96363,6.649392,7.324653,7.986232,8.629693,9.248472,9.842582,10.40423,10.932994,11.428487,11.888777,12.31077,12.696853,13.046401,13.361932,13.640877,13.89013,14.107183,14.297489,14.459247,14.596205,14.710092,14.802876,14.876366,14.929712,14.967331,14.990952,14.999782,14.995164,14.978949,14.95244,14.915401,14.869822,14.815048,14.751401,14.681894,14.605521,14.520508,14.431957,14.334352,14.233892,14.128039,14.016206,13.897395,13.77699,13.649852,13.520219,13.383888,13.24416,13.09866,12.949734,12.797186,12.638765,12.476045
01/02/2000 00:00:00,12.299298,12.126668,11.950073,11.768284,11.580409,11.386888,11.188038,10.984689,10.772402,10.556555,10.331791,10.101785,9.86425,9.620328,9.366494,9.104863,8.833754,8.554812,8.265653,7.966069,7.656195,7.332749,6.999183,6.653325,6.2946,5.919849,5.53297,5.128524,4.710025,4.273859,3.819457,3.347943,2.857394,2.346331,1.819034,1.26962,0.700857,0.110778,-0.495929,-1.121806,-1.765268,-2.422181,-3.094398,-3.777245,-4.466885,-5.160039,-5.853555,-6.543022,-7.22351,-7.88966,-8.537459,-9.163776,-9.762555,-10.33112,-10.868299,-11.370579,-11.834586,-12.264964,-12.654774,-13.010711,-13.329657,-13.615652,-13.867438,-14.088059,-14.279874,-14.443656,-14.582017,-14.697826,-14.790076,-14.863987,-14.919468,-14.959106,-14.982388,-14.99111,-14.98649,-14.969374,-14.943435,-14.905522,-14.858656,-14.805128,-14.74117,-14.670799,-14.593592,-14.508473,-14.418179,-14.321732,-14.219774,-14.113153,-13.999437,-13.881531,-13.759188,-13.632328,-13.502036,-13.365924,-13.223427,-13.079447,-12.92832,-12.774721,-12.616074,-12.452758,-12.284319,-12.110538,-11.932051,-11.748858,-11.559787,-11.366129,-11.166778,-10.960869,-10.748844,-10.53027,-10.304755,-10.074048,-9.834959,-9.586709,-9.33156,-9.069613,-8.7961,-8.515244,-8.223486,-7.922093,-7.609001,-7.285713,-6.949238,-6.601382,-6.239369,-5.862994,-5.471639,-5.065138,-4.641901,-4.202397,-3.745398,-3.268291,-2.77503,-2.260951,-1.727682,-1.176772,-0.60296,-0.011473,0.599602,1.226446,1.872126,2.531871,3.205515,3.886798,4.575663,5.268899,5.959785,6.644554,7.319774,7.981994,8.623555,9.242627,9.835677,10.397792,10.926398,11.421994,11.881037,12.30258,12.688339,13.038301,13.35201,13.634204,13.882196,14.098198,14.287664,14.450605,14.587363,14.700445,14.794019,14.866859,14.920751,14.958457,14.982159,14.991071,14.98615,14.970951,14.944256,14.906824,14.859818,14.805592,14.742942,14.673755,14.594877,14.512504,14.423059,14.327082,14.224612,14.119055,14.006774,13.88952,13.767974,13.641852,13.510548,13.375125,13.23612,13.090496,12.941477,12.788629,12.630761,12.466836
01/03/2000 00:00:00,12.277333,12.104566,11.927114,11.746694,11.557645,11.365328,11.167997,10.963136,10.752486,10.535534,10.313922,10.082433,9.845155,9.601356,9.348353,9.087059,8.818045,8.538023,8.250218,7.949911,7.640107,7.319485,6.986388,6.641536,6.282978,5.910013,5.52229,5.120115,4.699711,4.265415,3.812986,3.342139,2.850781,2.341913,1.814251,1.267248,0.699116,0.111839,-0.494755,-1.120671,-1.762534,-2.419197,-3.089571,-3.770061,-4.457583,-5.150732,-5.84403,-6.530854,-7.209904,-7.874734,-8.521347,-9.145819,-9.74492,-10.31146,-10.847636,-11.348818,-11.814254,-12.241374,-12.632915,-12.986797,-13.304731,-13.58856,-13.841077,-14.061097,-14.253189,-14.415714,-14.554003,-14.669028,-14.764084,-14.836885,-14.891984,-14.929664,-14.953483,-14.962167,-14.959234,-14.941677,-14.916153,-14.877544,-14.831233,-14.777019,-14.713008,-14.643687,-14.56527,-14.481065,-14.39185,-14.295125,-14.192122,-14.086379,-13.973622,-13.855442,-13.733634,-13.607893,-13.475673,-13.340222,-13.199608,-13.055129,-12.904056,-12.750344,-12.592275,-12.429386,-12.260366,-12.088558,-11.910072,-11.72603,-11.537523,-11.344147,-11.145921,-10.939867,-10.727605,-10.509919,-10.286307,-10.055106,-9.815547,-9.56902,-9.315134,-9.052352,-8.781075,-8.499199,-8.208891,-7.90716,-7.594944,-7.271777,-6.936618,-6.588894,-6.226283,-5.851455,-5.461123,-5.055559,-4.633477,-4.193248,-3.736862,-3.263414,-2.770035,-2.257267,-1.725103,-1.173411,-0.601923,-0.011383,0.598003,1.224676,1.868358,2.527573,3.198649,3.880387,4.567942,5.258649,5.948448,6.633372,7.307712,7.967754,8.608618,9.225215,9.816471,10.378358,10.906151,11.401237,11.858465,12.279035,12.663994,13.013938,13.327436,13.608532,13.854955,14.073637,14.26203,14.421954,14.560341,14.672477,14.764726,14.838826,14.893197,14.930942,14.952697,14.961681,14.958462,14.942299,14.91545,14.879671,14.833297,14.777686,14.716111,14.645332,14.568044,14.484414,14.394188,14.299958,14.197603,14.092475,13.979884,13.864334,13.741796,13.616849,13.486035,13.349689,13.211582,13.066013,12.917085,12.76413,12.60701,12.444081
01/04/2000 00:00:00,12.238061,12.067372,11.891281,11.708456,11.522465,11.329593,11.132027,10.929908,10.719156,10.503367,10.281185,10.0525,9.815773,9.5704,9.318543,9.059909,8.789326,8.512571,8.224477,7.92582,7.61647,7.297071,6.964857,6.619439,6.263494,5.890778,5.504691,5.103288,4.685498,4.251613,3.799719,3.330124,2.842565,2.334524,1.809151,1.263241,0.696444,0.110701,-0.493027,-1.116206,-1.755671,-2.411266,-3.078962,-3.758247,-4.444792,-5.135073,-5.825289,-6.510612,-7.187374,-7.850052,-8.494671,-9.118516,-9.713189,-10.280992,-10.813493,-11.312948,-11.777229,-12.202555,-12.593336,-12.946719,-13.263239,-13.546547,-13.797479,-14.016621,-14.20875,-14.371813,-14.509856,-14.623952,-14.717698,-14.791297,-14.845943,-14.883617,-14.905944,-14.91658,-14.911339,-14.895362,-14.868285,-14.831027,-14.785329,-14.730497,-14.668512,-14.59833,-14.520801,-14.435615,-14.345592,-14.25071,-14.148789,-14.042058,-13.930399,-13.812091,-13.690972,-13.564507,-13.434524,-13.297904,-13.157348,-13.014551,-12.86372,-12.710087,-12.552795,-12.390536,-12.223146,-12.049527,-11.873264,-11.690601,-11.502894,-11.310041,-11.11119,-10.905247,-10.695013,-10.478486,-10.253059,-10.023653,-9.785923,-9.539425,-9.287121,-9.023832,-8.753133,-8.472586,-8.184093,-7.882401,-7.57145,-7.248808,-6.915385,-6.568229,-6.207473,-5.832662,-5.443841,-5.039722,-4.619321,-4.180917,-3.725716,-3.252519,-2.761639,-2.250823,-1.72043,-1.170644,-0.600194,-0.011339,0.595595,1.221316,1.862195,2.520058,3.189729,3.867073,4.552461,5.241781,5.929635,6.611864,7.284487,7.94153,8.580902,9.196258,9.786989,10.345952,10.872277,11.364243,11.82109,12.242165,12.625848,12.973343,13.28624,13.565893,13.81244,14.029534,14.21662,14.377327,14.515174,14.628224,14.719034,14.792303,14.847085,14.884823,14.906603,14.915647,14.912135,14.895027,14.870059,14.831977,14.786293,14.731364,14.668941,14.600657,14.523056,14.440273,14.349378,14.255013,14.154898,14.048332,13.937571,13.819868,13.69849,13.572873,13.442713,13.309612,13.168574,13.02524,12.876589,12.723717,12.567542,12.405812
01/05/2000 00:00:00,12.185529,12.01513,11.83862,11.657616,11.470916,11.279727,11.084171,10.881048,10.672454,10.458097,10.235621,10.008023,9.772141,9.529499,9.2791,9.01945,8.751632,8.474489,8.188465,7.891828,7.583315,7.265537,6.934617,6.591062,6.234173,5.864167,5.480197,5.080063,4.665405,4.232471,3.783672,3.315912,2.830758,2.324173,1.799745,1.257605,0.692847,0.109365,-0.492746,-1.112412,-1.748684,-2.400397,-3.066583,-3.741816,-4.42653,-5.113081,-5.799354,-6.482319,-7.155947,-7.815645,-8.457461,-9.077901,-9.671399,-10.235755,-10.765911,-11.263013,-11.725558,-12.150553,-12.538085,-12.888526,-13.205234,-13.487664,-13.736698,-13.956685,-14.146612,-14.308008,-14.445633,-14.560656,-14.652974,-14.72528,-14.781404,-14.819025,-14.841831,-14.850407,-14.846864,-14.830485,-14.803891,-14.76603,-14.721003,-14.665621,-14.603741,-14.532786,-14.45624,-14.372178,-14.283461,-14.188541,-14.085829,-13.980243,-13.869822,-13.753533,-13.631254,-13.506224,-13.374641,-13.241022,-13.100699,-12.957765,-12.809362,-12.656,-12.497682,-12.336257,-12.168706,-11.997492,-11.821673,-11.638618,-11.451944,-11.259856,-11.062628,-10.857052,-10.649109,-10.432014,-10.209051,-9.979728,-9.742125,-9.497964,-9.245558,-8.984089,-8.714306,-8.435438,-8.147122,-7.847845,-7.538548,-7.218835,-6.885566,-6.539412,-6.180961,-5.806635,-5.419813,-5.017645,-4.599452,-4.16342,-3.709971,-3.239619,-2.749851,-2.241627,-1.713667,-1.164475,-0.597776,-0.011341,0.592384,1.21637,1.853645,2.507338,3.174769,3.850874,4.533241,5.218317,5.903369,6.582056,7.252126,7.907355,8.542442,9.155794,9.743268,10.300616,10.82482,11.315057,11.768957,12.188019,12.569951,12.916565,13.228476,13.50634,13.752706,13.967943,14.155489,14.31478,14.449918,14.563741,14.654998,14.727347,14.782474,14.820156,14.841933,14.851027,14.847228,14.831194,14.804139,14.767801,14.722862,14.666684,14.605491,14.535789,14.459969,14.376138,14.286683,14.192303,14.092554,13.98668,13.875887,13.760176,13.640109,13.513978,13.384634,13.250945,13.111151,12.96823,12.82004,12.66944,12.512405,12.350075
01/06/2000 00:00:00,12.115805,11.945908,11.771197,11.592239,11.40706,11.217792,11.020492,10.820615,10.612439,10.39778,10.179286,9.95106,9.716315,9.474705,9.226075,8.967732,8.703011,8.425824,8.142225,7.845977,7.540684,7.222922,6.895707,6.55444,6.199051,5.832214,5.448838,5.052469,4.63946,4.208012,3.760867,3.297522,2.813376,2.310875,1.790042,1.250348,0.68833,0.109833,-0.489912,-1.105295,-1.73958,-2.388599,-3.048447,-3.720787,-4.400817,-5.084782,-5.768254,-6.446009,-7.115662,-7.771553,-8.409764,-9.026021,-9.6176,-10.177802,-10.706948,-11.201073,-11.659303,-12.081435,-12.467232,-12.816288,-13.130787,-13.411986,-13.660807,-13.877367,-14.066854,-14.228378,-14.365411,-14.477218,-14.569993,-14.642913,-14.696448,-14.735967,-14.757224,-14.767729,-14.761888,-14.747129,-14.72105,-14.682633,-14.638334,-14.582471,-14.520775,-14.451134,-14.375668,-14.292834,-14.203534,-14.108696,-14.007319,-13.901011,-13.789968,-13.675842,-13.554555,-13.429117,-13.300097,-13.165648,-13.027732,-12.882841,-12.737051,-12.584151,-12.427004,-12.266615,-12.101111,-11.930517,-11.753363,-11.574143,-11.386736,-11.195654,-11.000296,-10.797342,-10.587952,-10.372558,-10.152338,-9.923384,-9.688204,-9.444685,-9.194493,-8.933171,-8.666641,-8.387802,-8.102024,-7.805534,-7.496279,-7.177897,-6.847198,-6.502477,-6.144781,-5.775406,-5.389068,-4.989354,-4.571892,-4.138777,-3.689648,-3.220728,-2.734687,-2.227689,-1.702822,-1.158908,-0.594668,-0.013386,0.588373,1.207848,1.844722,2.493428,3.155789,3.827811,4.508308,5.188286,5.869686,6.545986,7.210673,7.861274,8.495287,9.103873,9.687365,10.242406,10.763841,11.251741,11.702133,12.118663,12.498371,12.843677,13.154216,13.429947,13.673827,13.888941,14.074716,14.234392,14.368653,14.48111,14.5727,14.644039,14.697442,14.735024,14.758769,14.765902,14.76182,14.746881,14.719772,14.685223,14.639087,14.585727,14.523841,14.454806,14.378863,14.296085,14.206183,14.111905,14.012646,13.907597,13.796909,13.683333,13.562727,13.438238,13.309871,13.175761,13.037383,12.895053,12.749507,12.597369,12.44167,12.28094
01/07/2000 00:00:00,12.032974,11.863791,11.691096,11.512406,11.328979,11.139868,10.945067,10.744687,10.539186,10.326492,10.108252,9.88168,9.650364,9.410085,9.161536,8.906818,8.641526,8.368638,8.085818,7.792325,7.488631,7.173278,6.846177,6.507623,6.156172,5.790962,5.410654,5.016544,4.605696,4.18027,3.735332,3.27298,2.794442,2.294649,1.778059,1.239483,0.682899,0.108108,-0.486526,-1.09886,-1.728371,-2.371888,-3.028574,-3.695183,-4.371683,-5.050209,-5.728028,-6.401725,-7.066565,-7.719829,-8.353636,-8.964939,-9.54986,-10.107205,-10.632678,-11.123206,-11.578546,-11.997286,-12.380862,-12.728096,-13.039992,-13.319606,-13.565905,-13.780763,-13.969573,-14.129023,-14.265293,-14.377742,-14.468857,-14.542302,-14.595178,-14.632548,-14.656228,-14.664651,-14.660518,-14.645397,-14.617868,-14.582939,-14.537426,-14.48315,-14.421715,-14.351475,-14.275185,-14.193684,-14.103912,-14.009274,-13.911358,-13.804461,-13.694933,-13.581116,-13.460971,-13.337282,-13.206986,-13.073874,-12.936539,-12.79387,-12.648877,-12.496629,-12.340849,-12.181698,-12.016449,-11.846686,-11.672418,-11.493258,-11.309351,-11.119512,-10.924271,-10.722191,-10.515616,-10.302191,-10.080991,-9.854693,-9.620229,-9.379657,-9.129992,-8.873141,-8.606198,-8.331735,-8.046853,-7.751523,-7.444695,-7.128041,-6.798328,-6.45747,-6.102974,-5.735015,-5.351641,-4.954883,-4.540674,-4.111017,-3.664771,-3.199869,-2.716161,-2.213022,-1.691906,-1.15195,-0.590873,-0.013472,0.58557,1.19976,1.83144,2.476348,3.134814,3.801916,4.475696,5.153728,5.82863,6.499702,7.160179,7.807344,8.435498,9.040563,9.621348,10.171398,10.689417,11.172377,11.622701,12.034184,12.413199,12.75477,13.061554,13.33681,13.579901,13.792627,13.976401,14.136263,14.26948,14.380432,14.472242,14.542483,14.596096,14.63353,14.655216,14.664377,14.660017,14.644192,14.619062,14.582347,14.53707,14.484594,14.422093,14.353812,14.27784,14.196218,14.107978,14.013919,13.915275,13.81118,13.702735,13.587438,13.468441,13.345748,13.216518,13.084153,12.947362,12.805801,12.661082,12.509593,12.355423,12.196493
01/08/2000 00:00:00,11.933141,11.766881,11.594419,11.416219,11.234772,11.048052,10.853991,10.657358,10.452788,10.242322,10.024609,9.801971,9.570372,9.331724,9.087562,8.832788,8.571252,8.299003,8.019314,7.72694,7.427222,7.114671,6.790088,6.454667,6.105592,5.742462,5.367693,4.974333,4.568157,4.145281,3.705103,3.246316,2.769983,2.275516,1.761812,1.229022,0.678565,0.106195,-0.482589,-1.089112,-1.713067,-2.352281,-3.004987,-3.667034,-4.335162,-5.007403,-5.680721,-6.349519,-7.008715,-7.656538,-8.285146,-8.89073,-9.47226,-10.02405,-10.545191,-11.031507,-11.483386,-11.900207,-12.279083,-12.624058,-12.932959,-13.210641,-13.454107,-13.668993,-13.854891,-14.014065,-14.147403,-14.260352,-14.351693,-14.421571,-14.475722,-14.512896,-14.534969,-14.5433,-14.54088,-14.525418,-14.49847,-14.463076,-14.416405,-14.363784,-14.302687,-14.233935,-14.158916,-14.07685,-13.988717,-13.894398,-13.796067,-13.692711,-13.582837,-13.469471,-13.350618,-13.226833,-13.099423,-12.967815,-12.831232,-12.688962,-12.54495,-12.393542,-12.239324,-12.08161,-11.918821,-11.750103,-11.576937,-11.400061,-11.215884,-11.027527,-10.834646,-10.633693,-10.428191,-10.217002,-9.999097,-9.773737,-9.542283,-9.302958,-9.056133,-8.800074,-8.535052,-8.263308,-7.97968,-7.687877,-7.383858,-7.06933,-6.743012,-6.404445,-6.053593,-5.687509,-5.309578,-4.914273,-4.503833,-4.078172,-3.633368,-3.173067,-2.694297,-2.195644,-1.678929,-1.141608,-0.586393,-0.013596,0.579983,1.190121,1.815819,2.456124,3.107873,3.769224,4.439448,5.110691,5.780254,6.445266,7.10071,7.743636,8.365152,8.965944,9.541305,10.08768,10.601643,11.081064,11.526763,11.936688,12.310542,12.649955,12.954603,13.227044,13.467047,13.67912,13.862663,14.020517,14.152523,14.263832,14.35375,14.422805,14.476561,14.513801,14.5354,14.544579,14.539946,14.525255,14.498136,14.463299,14.418937,14.365413,14.304372,14.23693,14.161023,14.080659,13.99219,13.900466,13.800561,13.697551,13.589484,13.476607,13.357367,13.234625,13.108691,12.976236,12.841202,12.700585,12.556874,12.408222,12.253773,12.09684
01/09/2000 00:00:00,11.820431,11.653302,11.483285,11.307796,11.128555,10.94246,10.751379,10.554738,10.353354,10.143377,9.92846,9.708034,9.478439,9.243717,9.000247,8.747734,8.488281,8.221007,7.942798,7.653904,7.356537,7.047174,6.725512,6.393641,6.047375,5.688775,5.316015,4.92789,4.52489,4.10509,3.66822,3.215566,2.744029,2.253503,1.745324,1.216981,0.671337,0.106098,-0.478104,-1.08006,-1.697682,-2.329799,-2.975712,-3.632373,-4.295295,-4.960412,-5.628391,-6.289454,-6.942182,-7.583754,-8.206378,-8.807483,-9.382893,-9.930437,-10.444595,-10.928089,-11.37394,-11.786321,-12.16202,-12.504305,-12.809823,-13.083224,-13.325551,-13.538197,-13.722951,-13.879649,-14.013886,-14.123195,-14.214648,-14.28487,-14.338228,-14.375159,-14.397599,-14.405826,-14.401123,-14.385339,-14.361006,-14.325192,-14.27942,-14.22652,-14.165839,-14.09866,-14.023006,-13.942478,-13.856094,-13.762209,-13.665588,-13.561903,-13.453819,-13.341048,-13.223634,-13.101906,-12.975542,-12.843602,-12.707943,-12.568248,-12.425398,-12.277018,-12.124553,-11.966475,-11.804351,-11.638887,-11.46704,-11.290671,-11.108452,-10.921812,-10.731534,-10.533956,-10.329784,-10.119095,-9.902757,-9.680617,-9.450462,-9.214684,-8.969008,-8.716061,-8.455289,-8.184605,-7.904583,-7.614675,-7.313844,-7.001835,-6.67932,-6.343466,-5.996697,-5.634945,-5.258932,-4.867572,-4.461415,-4.038284,-3.599476,-3.14235,-2.669118,-2.175575,-1.663907,-1.131889,-0.581232,-0.013756,0.573621,1.176946,1.797881,2.430785,3.077004,3.733777,4.395613,5.061231,5.72462,6.384745,7.032343,7.668233,8.286337,8.880111,9.451334,9.99136,10.498629,10.975916,11.41644,11.8223,12.192529,12.529364,12.831498,13.100787,13.339403,13.548562,13.729648,13.885298,14.01793,14.127458,14.215373,14.285153,14.338988,14.375988,14.397472,14.404658,14.401757,14.386218,14.361143,14.324229,14.280838,14.228332,14.168826,14.100308,14.026558,13.945554,13.858965,13.767692,13.670646,13.56685,13.459296,13.346981,13.231644,13.109005,12.984525,12.854143,12.719036,12.579537,12.437014,12.289384,12.136846,11.980108
01/10/2000 00:00:00,11.690984,11.527192,11.357833,11.185272,11.006462,10.823222,10.635358,10.440955,10.239008,10.033779,9.821926,9.601987,9.37668,9.142176,8.901703,8.653761,8.396714,8.130749,7.856366,7.571309,7.274664,6.968873,6.652531,6.322624,5.981596,5.625973,5.257683,4.873276,4.473954,4.059751,3.628729,3.180773,2.714617,2.228641,1.726618,1.203378,0.663226,0.103823,-0.473071,-1.069713,-1.680233,-2.306464,-2.944782,-3.593239,-4.24813,-4.907291,-5.567098,-6.2216,-6.869044,-7.501565,-8.117427,-8.7113,-9.28187,-9.822483,-10.331012,-10.809079,-11.250343,-11.657767,-12.029817,-12.366985,-12.670735,-12.941514,-13.180399,-13.390538,-13.573916,-13.729942,-13.860909,-13.97044,-14.059892,-14.13037,-14.182868,-14.21951,-14.240288,-14.248401,-14.245421,-14.229335,-14.203649,-14.169459,-14.124642,-14.07153,-14.011339,-13.945819,-13.871624,-13.790734,-13.704208,-13.612874,-13.516084,-13.4142,-13.30804,-13.196004,-13.080177,-12.958659,-12.833498,-12.703391,-12.570823,-12.431878,-12.29037,-12.143203,-11.992683,-11.836437,-11.67718,-11.511178,-11.342863,-11.167221,-10.989187,-10.804497,-10.615061,-10.419105,-10.216517,-10.010591,-9.79609,-9.575448,-9.34888,-9.114945,-8.872723,-8.621203,-8.363009,-8.095724,-7.817658,-7.532006,-7.234738,-6.925637,-6.607329,-6.274608,-5.930357,-5.573388,-5.201762,-4.814837,-4.41347,-3.995396,-3.561134,-3.109756,-2.640655,-2.150837,-1.644856,-1.120806,-0.575391,-0.013947,0.566495,1.164253,1.777651,2.404363,3.044246,3.691626,4.348249,5.005414,5.661803,6.314221,6.957166,7.58523,8.195156,8.785173,9.347554,9.88256,10.384504,10.855068,11.29187,11.693161,12.061307,12.393147,12.692394,12.958197,13.19513,13.401116,13.58152,13.734773,13.865866,13.973479,14.061281,14.1317,14.183546,14.218261,14.241604,14.248787,14.245623,14.229255,14.204256,14.169309,14.124944,14.07352,14.013625,13.948114,13.874615,13.795069,13.708467,13.61776,13.521696,13.41924,13.314333,13.202719,13.087431,12.967045,12.842176,12.714029,12.581016,12.442808,12.301651,12.155226,12.004789,11.850439
