time,TR_000,TR_001,TR_002,TR_003,TR_004,TR_005,TR_006,TR_007,TR_008,TR_009,TR_010,TR_011,TR_012,TR_013,TR_014,TR_015,TR_016,TR_017,TR_018,TR_019,TR_020,TR_021,TR_022,TR_023,TR_024,TR_025,TR_026,TR_027,TR_028,TR_029,TR_030,TR_031,TR_032,TR_033,TR_034,TR_035,TR_036,TR_037,TR_038,TR_039,TR_040,TR_041,TR_042,TR_043,TR_044,TR_045,TR_046,TR_047,TR_048,TR_049,TR_050,TR_051,TR_052,TR_053,TR_054,TR_055,TR_056,TR_057,TR_058,TR_059,TR_060,TR_061,TR_062,TR_063,TR_064,TR_065,TR_066,TR_067,TR_068,TR_069,TR_070,TR_071,TR_072,TR_073,TR_074,TR_075,TR_076,TR_077,TR_078,TR_079,TR_080,TR_081,TR_082,TR_083,TR_084,TR_085,TR_086,TR_087,TR_088,TR_089,TR_090,TR_091,TR_092,TR_093,TR_094,TR_095,TR_096,TR_097,TR_098,TR_099,TR_100,TR_101,TR_102,TR_103,TR_104,TR_105,TR_106,TR_107,TR_108,TR_109,TR_110,TR_111,TR_112,TR_113,TR_114,TR_115,TR_116,TR_117,TR_118,TR_119,TR_120,TR_121,TR_122,TR_123,TR_124,TR_125,TR_126,TR_127,TR_128,TR_129,TR_130,TR_131,TR_132,TR_133,TR_134,TR_135,TR_136,TR_137,TR_138,TR_139,TR_140,TR_141,TR_142,TR_143,TR_144,TR_145,TR_146,TR_147,TR_148,TR_149,TR_150,TR_151,TR_152,TR_153,TR_154,TR_155,TR_156,TR_157,TR_158,TR_159,TR_160,TR_161,TR_162,TR_163,TR_164,TR_165,TR_166,TR_167,TR_168,TR_169,TR_170,TR_171,TR_172,TR_173,TR_174,TR_175,TR_176,TR_177,TR_178,TR_179,TR_180,TR_181,TR_182,TR_183,TR_184,TR_185,TR_186,TR_187,TR_188,TR_189,TR_190,TR_191,TR_192,TR_193,TR_194,TR_195,TR_196,TR_197,TR_198,TR_199
01/01/2000 00:00:00,-0.001017,0.07927,0.158441,0.235637,0.310124,0.382904,0.451953,0.515157,0.575741,0.628935,0.678466,0.723101,0.76248,0.796007,0.825787,0.847681,0.868358,0.88305,0.892467,0.897646,0.900632,0.898982,0.894087,0.883733,0.873593,0.858933,0.842792,0.822883,0.800901,0.776148,0.750574,0.723504,0.69391,0.664463,0.631517,0.598195,0.561969,0.526815,0.489888,0.453365,0.413897,0.375028,0.3339,0.293709,0.253988,0.212359,0.169697,0.127917,0.085072,0.042861,-0.001169,-0.041004,-0.083567,-0.126064,-0.168683,-0.209079,-0.250608,-0.2918,-0.332082,-0.372404,-0.411839,-0.451255,-0.487696,-0.524593,-0.56212,-0.595434,-0.630396,-0.661769,-0.692306,-0.72288,-0.749005,-0.775917,-0.799493,-0.821161,-0.840506,-0.858995,-0.872174,-0.8838,-0.893557,-0.897325,-0.900621,-0.898222,-0.892356,-0.882905,-0.867966,-0.849541,-0.825201,-0.796685,-0.763054,-0.724255,-0.679813,-0.631786,-0.576904,-0.517274,-0.453953,-0.385824,-0.312796,-0.238892,-0.161416,-0.082423,-0.00122,0.079021,0.158166,0.236375,0.310154,0.383643,0.450274,0.516073,0.575143,0.628575,0.678181,0.722381,0.762435,0.796974,0.824804,0.847916,0.867988,0.882199,0.891563,0.898253,0.899009,0.898008,0.893804,0.883793,0.872757,0.859291,0.842841,0.823486,0.800581,0.777031,0.750761,0.72361,0.694379,0.6626,0.630793,0.597661,0.563601,0.527279,0.48941,0.452935,0.41369,0.375463,0.333923,0.294562,0.253405,0.212431,0.170393,0.128142,0.085124,0.042787,-0.000771,-0.04194,-0.082813,-0.125903,-0.168946,-0.210308,-0.250574,-0.292135,-0.332506,-0.372731,-0.411148,-0.451536,-0.488461,-0.526074,-0.560666,-0.595826,-0.629585,-0.661952,-0.692614,-0.721329,-0.750402,-0.776751,-0.799866,-0.821634,-0.841692,-0.859053,-0.873171,-0.884935,-0.892914,-0.898233,-0.90096,-0.898398,-0.891806,-0.883151,-0.86748,-0.850419,-0.825849,-0.796377,-0.762654,-0.725751,-0.680381,-0.631819,-0.576015,-0.517425,-0.453074,-0.385749,-0.313596,-0.237387,-0.160018,-0.080615
01/02/2000 00:00:00,-0.004911,0.074932,0.15496,0.233259,0.308324,0.380074,0.448417,0.513891,0.571894,0.627762,0.676218,0.721133,0.760517,0.795898,0.824222,0.848144,0.866584,0.88184,0.892228,0.898275,0.900892,0.897598,0.892673,0.884796,0.874261,0.858792,0.843177,0.822875,0.802286,0.778667,0.75229,0.725072,0.695815,0.663668,0.633421,0.599533,0.564919,0.527509,0.491597,0.453898,0.414858,0.377035,0.336517,0.295428,0.254552,0.213644,0.171912,0.129492,0.086817,0.044678,0.002596,-0.040549,-0.082564,-0.124113,-0.166747,-0.209001,-0.248849,-0.291607,-0.330376,-0.371334,-0.410382,-0.450198,-0.487876,-0.524621,-0.560824,-0.595232,-0.628429,-0.661285,-0.690858,-0.72052,-0.74843,-0.775525,-0.799755,-0.821483,-0.840594,-0.856705,-0.872347,-0.883315,-0.891655,-0.898755,-0.900011,-0.898669,-0.893594,-0.883055,-0.869189,-0.850477,-0.827079,-0.799423,-0.764729,-0.725627,-0.681683,-0.632726,-0.579854,-0.520805,-0.455267,-0.388514,-0.315386,-0.241183,-0.164064,-0.085238,-0.005155,0.075452,0.154976,0.232453,0.308123,0.37982,0.447845,0.512338,0.572217,0.627355,0.677667,0.720988,0.760151,0.795621,0.82485,0.84747,0.867987,0.881912,0.892528,0.89827,0.900876,0.898493,0.893727,0.884355,0.872704,0.858498,0.841853,0.82241,0.801226,0.7773,0.751343,0.72549,0.695364,0.665291,0.633429,0.598163,0.564893,0.528772,0.492393,0.452956,0.414949,0.375452,0.336625,0.295014,0.25385,0.213655,0.17183,0.129021,0.086389,0.045108,0.002027,-0.040445,-0.082014,-0.124294,-0.167176,-0.20814,-0.249383,-0.29115,-0.331624,-0.371241,-0.411311,-0.448304,-0.486368,-0.524931,-0.560284,-0.594202,-0.628123,-0.661273,-0.691143,-0.720522,-0.749078,-0.775386,-0.798479,-0.82024,-0.84069,-0.857139,-0.871559,-0.883846,-0.893395,-0.898323,-0.900223,-0.897523,-0.893631,-0.882545,-0.867987,-0.849528,-0.827211,-0.797693,-0.764677,-0.726479,-0.682519,-0.633209,-0.579342,-0.520103,-0.45528,-0.388317,-0.316477,-0.240765,-0.163018,-0.08497
01/03/2000 00:00:00,-0.006805,0.072593,0.151477,0.230878,0.304519,0.377239,0.446875,0.510618,0.57004,0.624581,0.675963,0.719158,0.758547,0.793782,0.822651,0.8466,0.866804,0.880624,0.891982,0.896898,0.899147,0.898209,0.893255,0.885855,0.874924,0.860647,0.843559,0.824864,0.801669,0.779183,0.754003,0.726638,0.695717,0.664872,0.633322,0.600869,0.565867,0.530202,0.493305,0.45443,0.415818,0.377041,0.337134,0.297146,0.257115,0.214928,0.172126,0.131066,0.088562,0.046496,0.004383,-0.038094,-0.081561,-0.122161,-0.164811,-0.206922,-0.249089,-0.289413,-0.330669,-0.370264,-0.408925,-0.44714,-0.486055,-0.522649,-0.559527,-0.593029,-0.626461,-0.658798,-0.691408,-0.720158,-0.747852,-0.773131,-0.798015,-0.819802,-0.840679,-0.856411,-0.872517,-0.882827,-0.891748,-0.89818,-0.899395,-0.89911,-0.892827,-0.883198,-0.870406,-0.851407,-0.82695,-0.800155,-0.766396,-0.726991,-0.683545,-0.635659,-0.580797,-0.522331,-0.458575,-0.391198,-0.317972,-0.243471,-0.166709,-0.088051,-0.00709,0.071883,0.151784,0.230527,0.306088,0.377992,0.445412,0.510597,0.571284,0.626128,0.675147,0.719589,0.759861,0.794261,0.822889,0.847018,0.86598,0.881619,0.891487,0.898281,0.900738,0.898975,0.893647,0.884912,0.874647,0.859701,0.84286,0.823331,0.801867,0.779566,0.753924,0.725368,0.696347,0.665981,0.634063,0.600662,0.566184,0.530264,0.493374,0.454976,0.416207,0.377441,0.337326,0.297465,0.256295,0.214878,0.173266,0.1319,0.089653,0.047428,0.004847,-0.038949,-0.081215,-0.122685,-0.165406,-0.205972,-0.248191,-0.290164,-0.330742,-0.36975,-0.409473,-0.44707,-0.486274,-0.521788,-0.557901,-0.594577,-0.626659,-0.660593,-0.69167,-0.719713,-0.747751,-0.774017,-0.79909,-0.820843,-0.839685,-0.85722,-0.871944,-0.882754,-0.891871,-0.898408,-0.89948,-0.898643,-0.893451,-0.883933,-0.870487,-0.850631,-0.828566,-0.799002,-0.766692,-0.727201,-0.68465,-0.634591,-0.580662,-0.522776,-0.457481,-0.390879,-0.319353,-0.24414,-0.166017,-0.087323
01/04/2000 00:00:00,-0.010699,0.070254,0.149991,0.226494,0.302711,0.374399,0.443328,0.50934,0.56818,0.623394,0.673702,0.719176,0.758569,0.79166,0.821072,0.84705,0.865018,0.881402,0.891732,0.897516,0.899397,0.898816,0.893833,0.884909,0.875584,0.860498,0.843938,0.824849,0.803049,0.779696,0.753714,0.726202,0.697618,0.666073,0.635222,0.602203,0.566814,0.530894,0.495011,0.456961,0.418777,0.379046,0.33975,0.298864,0.257677,0.216211,0.174341,0.13264,0.090306,0.048313,0.00617,-0.037639,-0.078557,-0.12221,-0.162875,-0.204843,-0.247329,-0.287218,-0.328962,-0.369192,-0.407467,-0.44608,-0.484233,-0.520675,-0.558228,-0.592825,-0.626491,-0.65831,-0.689957,-0.719794,-0.747272,-0.772734,-0.796272,-0.820118,-0.83876,-0.856114,-0.870683,-0.882334,-0.891837,-0.897601,-0.900775,-0.899546,-0.894054,-0.883336,-0.869617,-0.85233,-0.828815,-0.80088,-0.768057,-0.728349,-0.685401,-0.636585,-0.583733,-0.52385,-0.459877,-0.393878,-0.320554,-0.245755,-0.169352,-0.090863,-0.011025,0.070312,0.14859,0.226598,0.302049,0.374159,0.442972,0.50885,0.568344,0.622894,0.674619,0.718182,0.757564,0.792894,0.820922,0.846559,0.865966,0.88132,0.890441,0.898287,0.900596,0.899451,0.893562,0.885466,0.874586,0.860901,0.843865,0.824249,0.802506,0.779829,0.754502,0.727244,0.697328,0.666669,0.634695,0.60116,0.567473,0.531755,0.494354,0.456996,0.417464,0.379428,0.340026,0.297915,0.256739,0.216101,0.174702,0.132779,0.090917,0.047749,0.005667,-0.037454,-0.078415,-0.121075,-0.163635,-0.205803,-0.246999,-0.287177,-0.327859,-0.368258,-0.407634,-0.445835,-0.484179,-0.520642,-0.557517,-0.59295,-0.625194,-0.657911,-0.690195,-0.718901,-0.746422,-0.772647,-0.797698,-0.819443,-0.838676,-0.857298,-0.870324,-0.883657,-0.892342,-0.898489,-0.900733,-0.897757,-0.893265,-0.883315,-0.870981,-0.851728,-0.827914,-0.800305,-0.7667,-0.729916,-0.686774,-0.637967,-0.583976,-0.523442,-0.461676,-0.393436,-0.322225,-0.247511,-0.169013,-0.089676
01/05/2000 00:00:00,-0.012593,0.067913,0.146504,0.224106,0.298898,0.371554,0.441775,0.506055,0.566313,0.622201,0.671433,0.717186,0.756585,0.791531,0.821488,0.845494,0.865226,0.880175,0.891475,0.898129,0.899641,0.899418,0.894407,0.885959,0.874241,0.860346,0.844313,0.824832,0.804426,0.780207,0.755423,0.727763,0.699517,0.667272,0.635121,0.603536,0.567759,0.531585,0.494716,0.457491,0.419736,0.38105,0.340365,0.300581,0.258239,0.217494,0.176554,0.134213,0.09205,0.05013,0.007957,-0.035184,-0.077553,-0.120258,-0.160938,-0.202763,-0.245568,-0.287023,-0.327254,-0.36612,-0.406007,-0.44502,-0.482409,-0.520699,-0.556928,-0.590618,-0.624519,-0.65782,-0.688503,-0.717427,-0.746689,-0.772334,-0.796527,-0.818431,-0.838838,-0.855814,-0.870846,-0.881837,-0.891922,-0.897017,-0.900149,-0.897976,-0.893275,-0.883468,-0.870821,-0.853246,-0.828673,-0.801598,-0.76971,-0.731699,-0.68725,-0.639504,-0.584663,-0.527363,-0.463174,-0.396552,-0.325132,-0.250036,-0.171993,-0.093674,-0.012959,0.06674,0.145393,0.224666,0.300005,0.372321,0.440527,0.507097,0.565399,0.621653,0.672084,0.716769,0.75726,0.79152,0.820948,0.846093,0.865946,0.881015,0.891389,0.898287,0.900448,0.897923,0.893472,0.886016,0.874522,0.862097,0.844866,0.825164,0.803142,0.78009,0.755077,0.727118,0.698307,0.667354,0.635325,0.603657,0.568761,0.533244,0.495332,0.459014,0.41872,0.379415,0.340725,0.300365,0.259183,0.217323,0.176138,0.133657,0.092181,0.050069,0.006487,-0.035958,-0.077616,-0.119466,-0.161865,-0.203634,-0.245806,-0.28619,-0.326975,-0.366765,-0.405794,-0.4446,-0.482082,-0.519496,-0.555131,-0.591321,-0.625727,-0.657227,-0.688718,-0.718088,-0.745091,-0.771273,-0.796303,-0.81804,-0.837664,-0.855372,-0.870701,-0.882556,-0.89081,-0.898565,-0.899981,-0.898866,-0.893074,-0.884691,-0.871469,-0.852818,-0.829256,-0.8016,-0.768702,-0.730623,-0.686891,-0.639336,-0.585283,-0.526102,-0.463865,-0.395988,-0.325093,-0.248879,-0.172006,-0.094027
01/06/2000 00:00:00,-0.016487,0.063571,0.143014,0.221716,0.297082,0.370705,0.438217,0.504764,0.564439,0.619,0.671157,0.71519,0.754594,0.789394,0.819896,0.843931,0.865428,0.878941,0.891214,0.896737,0.899881,0.898015,0.894976,0.887005,0.874893,0.86219,0.844685,0.826811,0.8058,0.780715,0.755128,0.729323,0.699413,0.66847,0.637017,0.604868,0.568703,0.534274,0.49642,0.46002,0.420693,0.381053,0.34298,0.302297,0.2608,0.218776,0.176767,0.135787,0.093794,0.051948,0.009744,-0.032729,-0.076549,-0.118305,-0.161001,-0.202683,-0.243806,-0.284827,-0.325545,-0.365047,-0.404547,-0.443958,-0.482584,-0.518723,-0.555627,-0.59041,-0.624546,-0.655328,-0.687047,-0.717058,-0.744104,-0.771932,-0.794778,-0.818741,-0.836913,-0.85551,-0.871004,-0.881337,-0.892002,-0.896428,-0.899519,-0.898402,-0.894491,-0.885595,-0.87202,-0.854157,-0.830524,-0.80231,-0.769357,-0.733042,-0.689091,-0.640417,-0.587586,-0.52887,-0.466464,-0.397222,-0.327705,-0.252313,-0.174631,-0.096484,-0.016894,0.063167,0.144195,0.220731,0.297958,0.370479,0.438077,0.503338,0.564446,0.620405,0.669543,0.715348,0.754949,0.79014,0.818967,0.845621,0.86392,0.880705,0.890331,0.896283,0.900296,0.89839,0.893378,0.886561,0.876453,0.86129,0.845864,0.826076,0.805775,0.782348,0.75565,0.728989,0.699283,0.670038,0.637954,0.604152,0.570047,0.532731,0.49631,0.459031,0.421975,0.381401,0.341423,0.300814,0.261626,0.218545,0.177573,0.136535,0.093445,0.050389,0.009307,-0.034463,-0.076816,-0.117856,-0.160094,-0.201464,-0.244613,-0.285202,-0.32609,-0.365272,-0.403953,-0.443363,-0.481985,-0.518348,-0.554743,-0.589691,-0.624258,-0.656541,-0.687239,-0.717271,-0.745757,-0.771897,-0.794905,-0.818633,-0.838649,-0.855443,-0.871073,-0.881452,-0.891273,-0.896636,-0.899225,-0.89797,-0.892878,-0.884061,-0.871951,-0.853902,-0.830591,-0.802889,-0.770696,-0.731324,-0.689001,-0.640698,-0.586583,-0.528755,-0.466049,-0.398535,-0.325956,-0.252244,-0.174997,-0.096377
01/07/2000 00:00:00,-0.01838,0.061228,0.141522,0.219322,0.295261,0.36785,0.436653,0.501467,0.562559,0.617793,0.668874,0.713187,0.754596,0.789251,0.818298,0.844362,0.863624,0.879702,0.890946,0.897339,0.900116,0.898608,0.89354,0.886047,0.875541,0.86203,0.845053,0.826788,0.805172,0.783221,0.756832,0.728879,0.701308,0.669666,0.638912,0.604197,0.569646,0.534961,0.498123,0.460548,0.421649,0.383055,0.343593,0.304012,0.261361,0.220058,0.17898,0.13736,0.095538,0.051765,0.009531,-0.032274,-0.073545,-0.116353,-0.159063,-0.200603,-0.242044,-0.28263,-0.323835,-0.363973,-0.403086,-0.442896,-0.480758,-0.516745,-0.554324,-0.588201,-0.622571,-0.654835,-0.685589,-0.716687,-0.743517,-0.769527,-0.795027,-0.817047,-0.836985,-0.855202,-0.869159,-0.882832,-0.892079,-0.897835,-0.900884,-0.898822,-0.893702,-0.885715,-0.871212,-0.853061,-0.832369,-0.803014,-0.770997,-0.734378,-0.690926,-0.643322,-0.588503,-0.53037,-0.467749,-0.399886,-0.330274,-0.254587,-0.177267,-0.099292,-0.018828,0.061593,0.140994,0.218793,0.293906,0.366631,0.435621,0.501572,0.561487,0.61715,0.668994,0.71392,0.754631,0.788752,0.818979,0.843143,0.863888,0.878388,0.889268,0.896273,0.900138,0.898852,0.89528,0.887102,0.876381,0.862479,0.846859,0.826984,0.806405,0.782603,0.756221,0.728858,0.700258,0.67072,0.638581,0.604645,0.571332,0.534218,0.499286,0.461046,0.423229,0.383386,0.344121,0.303263,0.262069,0.221766,0.179008,0.137413,0.094709,0.052709,0.010127,-0.032967,-0.074016,-0.116246,-0.158322,-0.201294,-0.241419,-0.284213,-0.323205,-0.363777,-0.404111,-0.442125,-0.479886,-0.517199,-0.554354,-0.588059,-0.622787,-0.655854,-0.685758,-0.716453,-0.744421,-0.770519,-0.795504,-0.817224,-0.837631,-0.855511,-0.869443,-0.882343,-0.891732,-0.896703,-0.900463,-0.899069,-0.894676,-0.885426,-0.872427,-0.854979,-0.83192,-0.804171,-0.770683,-0.734017,-0.691103,-0.642053,-0.589877,-0.531403,-0.468226,-0.401077,-0.328815,-0.255605,-0.177986,-0.098726
01/08/2000 00:00:00,-0.022274,0.058885,0.138028,0.214926,0.291437,0.364991,0.433084,0.500164,0.560672,0.616578,0.666584,0.713176,0.752591,0.787101,0.818693,0.842786,0.863813,0.878457,0.890673,0.895936,0.900346,0.899196,0.8941,0.887085,0.876186,0.861867,0.847418,0.826761,0.80654,0.783724,0.758533,0.730434,0.7012,0.670859,0.638805,0.605526,0.572587,0.535648,0.499824,0.463075,0.424605,0.385056,0.344206,0.303727,0.263921,0.22334,0.181193,0.138933,0.097282,0.053582,0.011317,-0.029819,-0.07254,-0.1144,-0.157125,-0.198522,-0.240282,-0.282433,-0.322125,-0.362898,-0.401624,-0.441832,-0.478931,-0.516766,-0.553019,-0.58799,-0.620594,-0.654339,-0.686129,-0.714314,-0.742927,-0.76912,-0.793273,-0.815351,-0.837054,-0.854891,-0.86931,-0.882323,-0.89015,-0.897237,-0.900244,-0.899237,-0.894906,-0.88583,-0.872399,-0.853958,-0.832207,-0.805712,-0.772629,-0.735708,-0.692754,-0.644221,-0.591412,-0.533864,-0.471028,-0.402545,-0.332838,-0.256857,-0.179901,-0.102098,-0.022762,0.058018,0.137791,0.214852,0.29185,0.364778,0.433159,0.499801,0.560521,0.615889,0.666439,0.712486,0.752306,0.787358,0.816985,0.842658,0.86385,0.878066,0.890199,0.896258,0.899975,0.899309,0.895177,0.887639,0.876305,0.863664,0.84585,0.82789,0.807032,0.782856,0.758789,0.730725,0.70123,0.6714,0.639206,0.607137,0.572615,0.535703,0.500261,0.463061,0.424482,0.38537,0.344818,0.303711,0.264511,0.222987,0.180442,0.13829,0.095972,0.055029,0.010947,-0.031471,-0.073216,-0.114636,-0.15655,-0.199124,-0.240225,-0.281224,-0.322319,-0.362282,-0.402268,-0.440886,-0.479786,-0.516049,-0.551964,-0.586425,-0.621315,-0.653164,-0.684274,-0.715633,-0.743083,-0.769138,-0.794101,-0.815812,-0.836609,-0.853575,-0.869808,-0.88123,-0.890186,-0.896766,-0.899696,-0.898163,-0.894468,-0.884785,-0.872896,-0.85405,-0.833241,-0.805446,-0.772664,-0.734704,-0.693199,-0.645401,-0.591163,-0.534044,-0.470398,-0.403614,-0.33167,-0.256962,-0.180972,-0.101073
01/09/2000 00:00:00,-0.024166,0.054541,0.134532,0.212526,0.289608,0.362127,0.431509,0.496854,0.558779,0.613357,0.664287,0.711159,0.750578,0.786944,0.817081,0.841204,0.861996,0.879205,0.890394,0.896528,0.90057,0.899779,0.894656,0.888119,0.876827,0.8637,0.84778,0.828731,0.807906,0.784224,0.758231,0.731986,0.70309,0.672051,0.640696,0.606852,0.573526,0.538333,0.501524,0.4636,0.425559,0.387057,0.346818,0.305441,0.264481,0.224621,0.181405,0.140505,0.099025,0.055398,0.013104,-0.029363,-0.071536,-0.114447,-0.155187,-0.19844,-0.238519,-0.280235,-0.320414,-0.361823,-0.400161,-0.438768,-0.477103,-0.514785,-0.551713,-0.585777,-0.620615,-0.651842,-0.684667,-0.713938,-0.742335,-0.768709,-0.793516,-0.815652,-0.835119,-0.852576,-0.869457,-0.881811,-0.890218,-0.896635,-0.899599,-0.899646,-0.894106,-0.885938,-0.873579,-0.85485,-0.834039,-0.806403,-0.774255,-0.73703,-0.694574,-0.647112,-0.594315,-0.535352,-0.472302,-0.405198,-0.335398,-0.261124,-0.184532,-0.104904,-0.024696,0.054443,0.134587,0.212907,0.289791,0.362921,0.430692,0.496023,0.557549,0.614621,0.665876,0.711044,0.751974,0.785957,0.816984,0.842167,0.861806,0.877737,0.889124,0.896237,0.899808,0.899762,0.89507,0.888172,0.876225,0.862846,0.846838,0.828792,0.807657,0.785106,0.759354,0.732589,0.702201,0.672078,0.63983,0.607627,0.573897,0.537187,0.501235,0.463075,0.425734,0.385353,0.345514,0.306158,0.264953,0.224208,0.181876,0.141167,0.097236,0.055348,0.013767,-0.029976,-0.070416,-0.113025,-0.156778,-0.196953,-0.23903,-0.280235,-0.321432,-0.360786,-0.400424,-0.439646,-0.477685,-0.514897,-0.551573,-0.58679,-0.619841,-0.652473,-0.684789,-0.71481,-0.741742,-0.767754,-0.792695,-0.816397,-0.835584,-0.853635,-0.86817,-0.882113,-0.890636,-0.896823,-0.898925,-0.899251,-0.894255,-0.886138,-0.87336,-0.855115,-0.832557,-0.806714,-0.774637,-0.737383,-0.693288,-0.646742,-0.592444,-0.534678,-0.472564,-0.406145,-0.33452,-0.260316,-0.183956,-0.105418
01/10/2000 00:00:00,-0.028059,0.052195,0.131035,0.210124,0.285775,0.359258,0.429928,0.495539,0.55488,0.612129,0.663983,0.709135,0.750559,0.784781,0.815463,0.841615,0.862173,0.877948,0.89011,0.897114,0.89879,0.898357,0.895207,0.887148,0.877463,0.86353,0.848138,0.828698,0.807268,0.784721,0.759927,0.733537,0.704978,0.673241,0.642585,0.608177,0.574464,0.539016,0.503223,0.464125,0.426512,0.387056,0.347429,0.307155,0.26704,0.225901,0.183617,0.142077,0.098768,0.057215,0.014891,-0.026908,-0.070531,-0.112494,-0.153249,-0.196358,-0.236755,-0.278037,-0.318702,-0.358747,-0.398697,-0.437702,-0.475273,-0.512803,-0.550406,-0.585563,-0.618635,-0.651342,-0.683203,-0.713561,-0.74174,-0.768297,-0.791757,-0.81395,-0.835181,-0.852258,-0.867601,-0.881294,-0.890281,-0.896028,-0.89895,-0.900051,-0.8953,-0.886041,-0.872753,-0.855735,-0.833864,-0.807087,-0.775874,-0.738345,-0.696388,-0.647997,-0.595212,-0.536833,-0.475569,-0.407847,-0.337954,-0.263387,-0.18716,-0.107707,-0.028629,0.052866,0.131381,0.21096,0.285727,0.359059,0.428219,0.494239,0.556571,0.611346,0.663307,0.709595,0.749635,0.784548,0.814976,0.841669,0.861755,0.877403,0.890044,0.896211,0.899635,0.90021,0.894958,0.888701,0.878141,0.864025,0.847822,0.829692,0.808278,0.785353,0.759917,0.732451,0.703169,0.674754,0.642451,0.608115,0.575177,0.538669,0.502207,0.465087,0.426985,0.387335,0.348209,0.306604,0.267394,0.225428,0.18331,0.142044,0.100499,0.057668,0.014587,-0.02648,-0.069615,-0.111414,-0.155006,-0.196782,-0.237835,-0.279244,-0.318544,-0.359289,-0.398579,-0.438405,-0.475582,-0.513744,-0.549179,-0.585154,-0.618365,-0.65178,-0.683302,-0.711985,-0.740398,-0.768368,-0.791286,-0.814978,-0.834556,-0.853693,-0.868528,-0.880993,-0.891082,-0.896876,-0.900148,-0.898334,-0.894036,-0.885485,-0.873818,-0.856173,-0.833865,-0.807975,-0.774604,-0.738056,-0.69537,-0.648077,-0.595717,-0.537306,-0.474724,-0.408672,-0.337366,-0.263666,-0.186937,-0.107763
