time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200
01/07/2018 00:00:00,6.236305,5.246472,4.34482,3.052344,1.389301,1.877405,2.499021,2.343432,3.409778,1.475988,0.931049,2.616137,3.797733,2.75025,-0.751187,1.367634,4.016368,2.384531,0.47013,-0.297887,0.499509,1.146201,-0.337394,-0.274329,0.746996,1.472392,1.714889,1.099001,3.049048,1.155969,2.513939,2.443575,1.861698,2.283254,1.688986,2.747408,1.587397,1.768592,1.452734,1.167624,1.284596,1.657689,2.716364,5.506553,7.927436,7.802003,8.214201,7.909221,8.724459,8.701282,8.062577,6.166423,2.991136,4.285643,5.676,4.16655,2.279857,2.298274,4.48684,4.367514,4.253392,5.512408,3.103017,2.473556,3.025193,1.993704,3.559946,1.677917,1.563798,3.206041,2.761688,2.598908,2.622759,1.293299,1.672634,0.492386,1.539351,0.543427,-1.992077,-4.028559,-4.64457,-5.186747,-5.434016,-4.72082,-5.900849,-6.681752,-6.845034,-7.517394,-8.478234,-5.008276,-2.276912,1.33022,-5.729675,-5.491506,-6.680984,-5.096054,-6.165949,-4.540653,-4.283694,-4.517375,-4.943829,-3.78243,-1.376188,-4.260581,-1.00451,-3.788812,-3.385822,-0.190621,-1.244065,-5.453802,-7.224644,-7.956912,-7.968509,-7.192128,-6.91783,-6.678013,-6.728771,-7.317812,-7.853602,-8.544976,-8.838637,-8.214899,-8.49839,-6.992523,-6.456839,-6.374837,-6.173666,-5.256277,-4.387068,-3.978283,-6.28989,-7.177246,-7.522605,-7.411028,-8.225242,-7.879412,-6.440985,-6.177609,-4.588062,-5.593833,-7.366115,-6.76934,-6.396934,-1.22627,0.180208,2.214529,-2.224244,-5.575755,-7.516748,-6.359031,-6.621169,-6.918063,-6.167637,-6.462891,-4.176717,-5.265734,-7.505784,-7.43011,-7.809411,2.363963,3.79833,3.956367,-8.001123,-8.282306,-7.009346,-4.515443,-3.129277,-0.901016,0.800623,2.746911,3.059516,4.967667,4.800246,6.834647,6.760676,7.358866,6.381805,4.145645,4.764244,3.984671,0.510872,-0.963818,5.214377,4.161135,-1.934548,-3.032938,-2.127361,-0.19688,1.260706,1.187477,2.021903,3.06506,4.440279,5.226596,4.764126,4.960485,5.310542,5.722215,6.184231,6.132158,6.236305
01/08/2018 00:00:00,6.157259,5.155217,4.28324,3.006966,1.371737,1.848588,2.458904,2.30641,3.363438,1.445288,0.916271,2.566036,3.730217,2.720404,-0.723732,1.342418,3.937682,2.33312,0.469431,-0.278312,0.501714,1.134193,-0.315546,-0.25617,0.740681,1.448906,1.684046,1.081614,2.998638,1.128468,2.460937,2.390172,1.822681,2.239725,1.656936,2.697632,1.56054,1.738204,1.430184,1.149681,1.262581,1.627318,2.663991,5.409554,7.839306,7.707424,8.129339,7.814578,8.639033,8.622356,7.960921,6.066009,2.930024,4.201426,5.585399,4.090571,2.23463,2.248089,4.40162,4.28229,4.164497,5.452455,3.036255,2.417985,2.974064,1.961608,3.503249,1.648601,1.540832,3.150811,2.713366,2.555027,2.586481,1.284345,1.656105,0.497274,1.527239,0.547647,-1.935463,-3.934264,-4.54255,-5.081936,-5.329837,-4.619668,-5.804669,-6.572458,-6.7342,-7.400427,-8.403229,-5.055359,-2.31724,1.232464,-5.727298,-5.421226,-6.571768,-5.007388,-6.072784,-4.466552,-4.213684,-4.45051,-4.867914,-3.71414,-1.340586,-4.26283,-0.987005,-3.765867,-3.370038,-0.210673,-1.237058,-5.362059,-7.174139,-7.870129,-7.893549,-7.099997,-6.827014,-6.567753,-6.625152,-7.216134,-7.762948,-8.456421,-8.795853,-8.124429,-8.394366,-6.894868,-6.347914,-6.257934,-6.080726,-5.156483,-4.300056,-3.881572,-6.21061,-7.071636,-7.424607,-7.314961,-8.144274,-7.800556,-6.347731,-6.094789,-4.50148,-5.455363,-7.278289,-6.661245,-6.291201,-1.212389,0.164679,2.184842,-2.133843,-5.673993,-7.439994,-6.253011,-6.523085,-6.819468,-6.066562,-6.359807,-4.088012,-5.241953,-7.402732,-7.32349,-7.704302,2.177969,3.70905,3.866416,-7.872057,-8.188695,-6.908191,-4.438196,-3.073644,-0.892737,0.777483,2.674751,2.984667,4.878014,4.697193,6.743242,6.627551,7.254446,6.234912,4.037986,4.656939,3.898479,0.484854,-1.03168,5.172424,4.092577,-1.933197,-2.979723,-2.096215,-0.214249,1.228579,1.150871,1.968646,2.994001,4.350579,5.12255,4.662659,4.855687,5.199636,5.612859,6.078678,6.033065,6.157259
01/09/2018 00:00:00,6.020642,4.999751,4.165473,2.928125,1.335428,1.795504,2.388816,2.243086,3.284072,1.403705,0.906677,2.506131,3.643552,2.672394,-0.676643,1.318986,3.843367,2.276402,0.475428,-0.246114,0.504105,1.114943,-0.293682,-0.235249,0.730019,1.415323,1.642905,1.056305,2.928145,1.09969,2.396726,2.331138,1.779332,2.190095,1.621013,2.632771,1.526941,1.695605,1.398101,1.128065,1.236659,1.590493,2.596697,5.283189,7.730714,7.59065,8.024664,7.698366,8.536142,8.526735,7.841506,5.941692,2.856686,4.097539,5.470774,3.995498,2.184228,2.188242,4.29405,4.176374,4.05581,5.366568,2.96131,2.350835,2.899973,1.914773,3.425396,1.618685,1.517648,3.082996,2.654683,2.505945,2.537794,1.269726,1.634963,0.507906,1.515292,0.565083,-1.841872,-3.794527,-4.394428,-4.929863,-5.17446,-4.460498,-5.650188,-6.411577,-6.566418,-7.22897,-8.294602,-5.029559,-2.304642,1.145848,-5.607796,-5.258597,-6.399843,-4.851539,-5.918674,-4.326845,-4.068309,-4.297385,-4.71407,-3.576643,-1.250137,-4.201774,-0.920758,-3.672465,-3.286776,-0.173212,-1.161042,-5.20045,-7.067834,-7.721262,-7.761603,-6.930791,-6.657198,-6.348631,-6.427025,-7.032647,-7.607667,-8.313252,-8.722894,-7.995454,-8.240025,-6.724426,-6.171989,-6.049577,-5.917332,-4.983268,-4.148147,-3.715931,-6.06262,-6.905876,-7.272778,-7.169447,-8.02509,-7.676223,-6.198046,-5.947314,-4.342435,-5.232631,-7.135442,-6.493506,-6.123727,-1.151977,0.166633,2.134511,-2.006526,-5.751863,-7.318685,-6.090245,-6.369331,-6.661462,-5.902834,-6.199115,-3.9757,-5.192026,-7.245051,-7.164034,-7.543025,2.015154,3.605446,3.757024,-7.656981,-8.041195,-6.745451,-4.273729,-2.936291,-0.814932,0.791764,2.632012,2.921908,4.770893,4.584615,6.627003,6.476127,7.135024,6.073994,3.929224,4.541848,3.804367,0.490601,-1.030795,5.113704,4.012019,-1.883156,-2.879055,-2.025632,-0.208017,1.204701,1.118591,1.90947,2.909259,4.235573,4.98791,4.534699,4.725457,5.065051,5.47367,5.93241,5.88232,6.020642
01/10/2018 00:00:00,5.822803,4.777014,3.989505,2.814595,1.280414,1.718168,2.288462,2.15325,3.170892,1.351189,0.902174,2.437495,3.537206,2.605581,-0.609958,1.297611,3.733268,2.21463,0.488236,-0.201378,0.506678,1.088383,-0.271636,-0.211569,0.714938,1.371656,1.591545,1.023154,2.837068,1.069816,2.321269,2.266483,1.731637,2.13435,1.581221,2.552589,1.486503,1.640767,1.356521,1.102705,1.20681,1.547242,2.5143,5.126175,7.599247,7.449153,7.897757,7.558135,8.413421,8.412187,7.702271,5.792698,2.770947,3.972875,5.330832,3.880983,2.128706,2.118952,4.16323,4.049054,3.926657,5.252313,2.87805,2.272187,2.801693,1.853552,3.32611,1.588395,1.49434,3.002441,2.585579,2.451726,2.476798,1.249346,1.608946,0.524383,1.503438,0.59588,-1.711345,-3.607492,-4.197498,-4.727078,-4.963856,-4.239712,-5.432478,-6.193822,-6.335845,-6.99709,-8.147101,-4.923494,-2.240489,1.071824,-5.372939,-4.999172,-6.159836,-4.62474,-5.698755,-4.118809,-3.845142,-4.054269,-4.478406,-3.36798,-1.105469,-4.072021,-0.80615,-3.505091,-3.136126,-0.077614,-1.016484,-4.96698,-6.899912,-7.501882,-7.565028,-6.675179,-6.399227,-6.007683,-6.123663,-6.755632,-7.379361,-8.107353,-8.615965,-7.822052,-8.027467,-6.471804,-5.920263,-5.737459,-5.677727,-4.730349,-3.927951,-3.478604,-5.838684,-6.672906,-7.060381,-6.968807,-7.862492,-7.501331,-5.986774,-5.729924,-4.106352,-4.918645,-6.930542,-6.259884,-5.888297,-1.044742,0.186532,2.063684,-1.845756,-5.80158,-7.14737,-5.865419,-6.154262,-6.437633,-5.670572,-5.975101,-3.836861,-5.112017,-7.026289,-6.945083,-7.317719,1.879222,3.487264,3.627632,-7.338556,-7.83206,-6.514005,-4.01706,-2.715448,-0.668054,0.843353,2.619012,2.871341,4.645285,4.462297,6.483858,6.305343,6.999573,5.898583,3.819644,4.418394,3.702195,0.528106,-0.960829,5.036337,3.921682,-1.782478,-2.729808,-1.915171,-0.177706,1.189105,1.09071,1.846011,2.810597,4.094203,4.820887,4.379084,4.568554,4.905517,5.302826,5.742273,5.676241,5.822803
01/11/2018 00:00:00,5.556805,4.482216,3.752586,2.657964,1.206795,1.616603,2.157399,2.036586,3.022939,1.287751,0.90271,2.360154,3.41056,2.519579,-0.523734,1.278592,3.607563,2.148119,0.507918,-0.144162,0.509438,1.054498,-0.249265,-0.185131,0.695384,1.317856,1.529884,0.982179,2.724882,1.039066,2.234469,2.19624,1.679609,2.072382,1.537534,2.456848,1.439227,1.573517,1.305403,1.07367,1.173045,1.497534,2.41656,4.936806,7.441534,7.279465,7.745243,7.390481,8.267565,8.275693,7.540487,5.616983,2.672601,3.826796,5.16393,3.74662,2.068021,2.040457,4.007986,3.899418,3.776185,5.107001,2.786329,2.182088,2.678378,1.778271,3.205065,1.558004,1.471058,2.908955,2.505832,2.392303,2.403607,1.223296,1.57772,0.546761,1.491682,0.640179,-1.543787,-3.370072,-3.947717,-4.468409,-4.691878,-3.951152,-5.143086,-5.910883,-6.033338,-6.695776,-7.952863,-4.727627,-2.127841,1.01107,-5.043281,-4.635477,-5.845059,-4.320981,-5.405304,-3.837975,-3.53919,-3.714788,-4.153795,-3.08493,-0.907761,-3.865968,-0.644031,-3.258781,-2.917631,0.076572,-0.804547,-4.654772,-6.660006,-7.196015,-7.289346,-6.315671,-6.035913,-5.521306,-5.695116,-6.365115,-7.062285,-7.823654,-8.467785,-7.593853,-7.74323,-6.119019,-5.576883,-5.299784,-5.351397,-4.387714,-3.633912,-3.165441,-5.527462,-6.362598,-6.776204,-6.703545,-7.647874,-7.267144,-5.705311,-5.433827,-3.786712,-4.502425,-6.65211,-5.950138,-5.575591,-0.89098,0.224511,1.973016,-1.656477,-5.810286,-6.917165,-5.569866,-5.868618,-6.137079,-5.359805,-5.675827,-3.667004,-4.995009,-6.735231,-6.655627,-7.015262,1.775565,3.354251,3.477598,-6.887965,-7.547343,-6.201551,-3.659286,-2.407166,-0.453003,0.931705,2.635571,2.82592,4.500223,4.327044,6.311428,6.113999,6.846744,5.708249,3.709591,4.285988,3.59251,0.597001,-0.823641,4.939843,3.829424,-1.619166,-2.530255,-1.764221,-0.122923,1.181797,1.067294,1.778325,2.69776,3.925168,4.619049,4.194267,4.383352,4.719414,5.097797,5.503638,5.409132,5.556805
01/12/2018 00:00:00,5.214808,4.115707,3.460768,2.468637,1.120648,1.497055,2.002104,1.89872,2.844539,1.216517,0.906753,2.275736,3.264999,2.417035,-0.42341,1.261422,3.468136,2.078262,0.532658,-0.077917,0.512336,1.01495,-0.226748,-0.156687,0.672474,1.256344,1.460234,0.935382,2.594131,1.007936,2.138496,2.121467,1.62422,2.005283,1.490811,2.347873,1.386641,1.496704,1.247075,1.041836,1.136371,1.442607,2.305438,4.713233,7.253295,7.077293,7.562811,7.191109,8.094327,8.113391,7.352767,5.412032,2.563076,3.6597,4.968146,3.5931,2.003065,1.954635,3.828045,3.727798,3.605346,4.928076,2.687799,2.083389,2.533247,1.692685,3.064539,1.527856,1.447916,2.804139,2.417191,2.328618,2.320592,1.192994,1.542299,0.573536,1.479915,0.694328,-1.34792,-3.083058,-3.642775,-4.148275,-4.351581,-3.592334,-4.771591,-5.551021,-5.64654,-6.313516,-7.700589,-4.439454,-1.99273,0.95641,-4.649973,-4.177928,-5.449567,-3.940382,-5.028384,-3.487173,-3.157625,-3.283039,-3.740202,-2.735495,-0.672621,-3.576818,-0.447606,-2.933205,-2.637452,0.271792,-0.54611,-4.257133,-6.332693,-6.778401,-6.911608,-5.825401,-5.540926,-4.86631,-5.114405,-5.833371,-6.631798,-7.438423,-8.266352,-7.293951,-7.364142,-5.637512,-5.117497,-4.706708,-4.923477,-3.9446,-3.265559,-2.782012,-5.114408,-5.95909,-6.40398,-6.359672,-7.368015,-6.960065,-5.341369,-5.04724,-3.388149,-3.975997,-6.283599,-5.550046,-5.173251,-0.712865,0.272358,1.870701,-1.453196,-5.758182,-6.614683,-5.191682,-5.498857,-5.744023,-4.956604,-5.286211,-3.459711,-4.829812,-6.355266,-6.279562,-6.616296,1.707801,3.208523,3.310749,-6.261633,-7.165348,-5.788808,-3.200727,-2.025888,-0.196795,1.042702,2.671844,2.786016,4.335471,4.180569,6.107042,5.900902,6.674796,5.50288,3.599509,4.144817,3.479645,0.684654,-0.646879,4.825092,3.741573,-1.418795,-2.286393,-1.580246,-0.049723,1.18045,1.047302,1.707365,2.569427,3.728749,4.380421,3.979832,4.169026,4.505494,4.855741,5.210489,5.073764,5.214808
01/13/2018 00:00:00,4.822215,3.72549,3.153782,2.279126,1.035752,1.3779,1.845958,1.760556,2.660699,1.146175,0.910457,2.19092,3.11442,2.309848,-0.323635,1.244364,3.325932,2.008942,0.557517,-0.012121,0.515226,0.975242,-0.204386,-0.128328,0.649381,1.194765,1.390475,0.888643,2.459565,0.977429,2.041865,2.046429,1.568686,1.937626,1.444029,2.237269,1.333956,1.419621,1.188843,1.010084,1.099636,1.387409,2.192432,4.465687,7.028747,6.836865,7.344763,6.954251,7.888179,7.920508,7.134923,5.181131,2.451692,3.48457,4.750333,3.432736,1.93778,1.868735,3.637658,3.548342,3.428612,4.725261,2.588633,1.985054,2.386923,1.607842,2.919828,1.498377,1.424932,2.697596,2.327691,2.264678,2.236938,1.162802,1.506047,0.600463,1.467844,0.748405,-1.151631,-2.780068,-3.313384,-3.791635,-3.969218,-3.205333,-4.341577,-5.119858,-5.190136,-5.872462,-7.375536,-4.109104,-1.861552,0.901117,-4.258924,-3.703707,-5.010801,-3.534729,-4.592594,-3.117595,-2.761395,-2.827729,-3.296925,-2.375736,-0.442412,-3.239933,-0.254495,-2.576866,-2.343038,0.463395,-0.292888,-3.812222,-5.898626,-6.213597,-6.398112,-5.191451,-4.908661,-4.12138,-4.426625,-5.16759,-6.059126,-6.915201,-7.994114,-6.897758,-6.856175,-5.006976,-4.53914,-4.000985,-4.412437,-3.444236,-2.871375,-2.38325,-4.623363,-5.4641,-5.929243,-5.920845,-7.004411,-6.5616,-4.89771,-4.59007,-2.969405,-3.397706,-5.814952,-5.072943,-4.706518,-0.539056,0.319529,1.769133,-1.262945,-5.617544,-6.222657,-4.744347,-5.045345,-5.253596,-4.475098,-4.815027,-3.207085,-4.600471,-5.868086,-5.80215,-6.102665,1.649789,3.061567,3.142205,-5.478933,-6.654963,-5.26784,-2.709658,-1.63666,0.052492,1.149644,2.706166,2.74477,4.160639,4.02985,5.869921,5.672972,6.483447,5.288763,3.489857,4.000134,3.366349,0.769141,-0.47452,4.703643,3.65435,-1.218432,-2.035446,-1.39356,0.024253,1.178265,1.027405,1.636345,2.438531,3.521765,4.121945,3.752956,3.9412,4.276754,4.588239,4.874374,4.68981,4.822215
01/14/2018 00:00:00,4.420684,3.339115,2.853591,2.094754,0.954029,1.262406,1.694113,1.626398,2.479282,1.078373,0.913257,2.107321,2.965117,2.203563,-0.226964,1.227207,3.185154,1.941077,0.581633,0.051604,0.518083,0.936539,-0.182051,-0.100394,0.626681,1.134609,1.322332,0.843171,2.326079,0.94773,1.946713,1.972225,1.513828,1.870572,1.397806,2.128189,1.28228,1.344314,1.132134,0.97891,1.063484,1.333181,2.08139,4.214502,6.762674,6.555971,7.084447,6.676342,7.642133,7.690843,6.882413,4.943515,2.341828,3.310586,4.528164,3.273231,1.873237,1.784741,3.447974,3.370127,3.253231,4.513812,2.490223,1.888904,2.246603,1.525895,2.777193,1.469656,1.402119,2.59263,2.239606,2.201383,2.154851,1.133445,1.470099,0.626787,1.45545,0.800728,-0.960799,-2.478913,-2.982984,-3.429243,-3.578877,-2.816959,-3.89688,-4.664425,-4.713498,-5.415094,-6.979655,-3.76386,-1.735863,0.844951,-3.88163,-3.237983,-4.572008,-3.131626,-4.14472,-2.752619,-2.372634,-2.379853,-2.856012,-2.02447,-0.225695,-2.891742,-0.072136,-2.220858,-2.056172,0.643596,-0.053294,-3.363877,-5.387253,-5.519826,-5.752338,-4.489808,-4.2175,-3.353448,-3.707239,-4.448005,-5.387773,-6.243118,-7.622283,-6.375132,-6.22233,-4.293744,-3.904749,-3.253936,-3.878912,-2.933961,-2.478548,-1.991867,-4.108328,-4.933997,-5.396708,-5.417859,-6.540504,-6.069791,-4.426028,-4.11491,-2.553239,-2.815675,-5.294716,-4.571785,-4.223832,-0.371723,0.3652,1.669714,-1.093184,-5.37747,-5.756403,-4.277537,-4.559701,-4.721273,-3.970644,-4.315855,-2.916731,-4.291491,-5.312159,-5.266178,-5.520033,1.585182,2.916401,2.975489,-4.622639,-6.029289,-4.697199,-2.219552,-1.25672,0.289569,1.249527,2.735513,2.701139,3.984143,3.879193,5.617459,5.442952,6.282656,5.07346,3.380937,3.854575,3.253261,0.848283,-0.311931,4.582032,3.566601,-1.024626,-1.789503,-1.211795,0.095797,1.174035,1.006954,1.566062,2.309283,3.314917,3.861987,3.52681,3.713456,4.047257,4.317503,4.528753,4.297822,4.420684
01/15/2018 00:00:00,4.016771,2.959885,2.561488,1.916019,0.875471,1.150673,1.546764,1.496396,2.300968,1.013234,0.915201,2.024983,2.81745,2.099516,-0.133482,1.21,3.045954,1.874689,0.604977,0.113273,0.520912,0.89886,-0.159743,-0.072875,0.604411,1.075895,1.25583,0.798981,2.194069,0.918838,1.853069,1.898854,1.459635,1.804168,1.352186,2.020817,1.231616,1.270817,1.076956,0.948394,1.027917,1.279853,1.972087,3.963266,6.46773,6.254322,6.78828,6.374529,7.351207,7.421457,6.604353,4.704334,2.233337,3.138342,4.304757,3.11506,1.809406,1.702761,3.259716,3.193632,3.079561,4.296196,2.392622,1.794991,2.110295,1.446839,2.636964,1.441691,1.379493,2.489321,2.153002,2.138898,2.074371,1.104953,1.435468,0.652531,1.442767,0.851247,-0.775827,-2.18123,-2.654019,-3.065265,-3.185567,-2.430734,-3.445399,-4.197666,-4.227822,-4.949394,-6.547805,-3.409912,-1.615835,0.787921,-3.519084,-2.785234,-4.140588,-2.734475,-3.693184,-2.394801,-1.994103,-1.943524,-2.421975,-1.683821,-0.02319,-2.537699,0.099297,-1.86915,-1.778632,0.812572,0.17272,-2.919448,-4.841283,-4.7612,-5.035541,-3.756388,-3.498968,-2.580999,-2.975011,-3.700285,-4.667425,-5.485839,-7.111902,-5.755044,-5.513965,-3.533683,-3.234786,-2.48464,-3.337366,-2.421572,-2.090365,-1.611399,-3.584628,-4.386891,-4.837519,-4.887667,-6.010954,-5.530753,-3.94278,-3.633037,-2.143661,-2.240668,-4.747234,-4.058651,-3.734244,-0.211118,0.409244,1.572501,-0.946855,-5.062376,-5.254922,-3.802919,-4.060724,-4.170093,-3.456618,-3.803584,-2.611421,-3.928636,-4.724884,-4.702302,-4.901926,1.512149,2.773213,2.810904,-3.727483,-5.341517,-4.101067,-1.736276,-0.888699,0.514366,1.342433,2.759997,2.655466,3.807335,3.729076,5.36196,5.212588,6.077735,4.858052,3.272703,3.7084,3.140373,0.921811,-0.160015,4.460198,3.478283,-0.837729,-1.549462,-1.035439,0.164758,1.167805,0.985945,1.49655,2.181864,3.109025,3.602312,3.302327,3.486841,3.818257,4.046617,4.18004,3.904785,4.016771
01/16/2018 00:00:00,3.614124,2.590499,2.278578,1.743336,0.800064,1.042782,1.404083,1.370702,2.12636,0.950817,0.916333,1.944041,2.671835,1.997785,-0.043247,1.192782,2.908474,1.809781,0.627527,0.172908,0.523716,0.862206,-0.137464,-0.045858,0.582605,1.018687,1.190911,0.756204,2.063896,0.890741,1.761013,1.826313,1.40605,1.738456,1.307175,1.915301,1.182056,1.199157,1.02333,0.918402,0.992928,1.227565,1.864374,3.713743,6.158868,5.941747,6.474861,6.060847,7.032141,7.128751,6.314755,4.464643,2.126258,2.968223,4.081129,2.958576,1.74634,1.622869,3.073316,3.019187,2.907938,4.074051,2.294266,1.703359,1.977592,1.370654,2.49933,1.414475,1.357064,2.387745,2.067917,2.077188,1.995612,1.077355,1.402124,0.677573,1.429829,0.899917,-0.597017,-1.888395,-2.328296,-2.702143,-2.792364,-2.049582,-2.991824,-3.724797,-3.73852,-4.480164,-6.089812,-3.053044,-1.501609,0.729913,-3.17175,-2.349189,-3.721699,-2.344602,-3.242603,-2.046293,-1.628128,-1.522128,-1.998607,-1.355477,0.164732,-2.182088,0.259829,-1.524914,-1.511774,0.970619,0.385341,-2.483994,-4.271584,-3.959712,-4.268249,-3.00937,-2.769915,-1.821681,-2.246129,-2.942413,-3.915021,-4.669313,-6.466873,-5.065169,-4.748212,-2.744688,-2.541788,-1.712295,-2.795738,-1.913166,-1.709592,-1.244707,-3.059837,-3.830827,-4.260662,-4.338957,-5.439302,-4.959555,-3.453937,-3.150491,-1.744168,-1.681915,-4.182274,-3.540196,-3.243385,-0.057426,0.451488,1.477549,-0.825428,-4.678061,-4.727181,-3.325849,-3.554808,-3.608377,-2.939591,-3.2857,-2.299745,-3.526153,-4.115407,-4.119033,-4.259051,1.428161,2.632135,2.648572,-2.828284,-4.607707,-3.490225,-1.264944,-0.534704,0.726969,1.428537,2.779593,2.608004,3.631708,3.579978,5.104543,4.982426,5.868963,4.643147,3.165129,3.561851,3.027691,0.989584,-0.019191,4.337764,3.389223,-0.65802,-1.316211,-0.864896,0.230997,1.159613,0.964367,1.427795,2.056462,2.904515,3.344035,3.080199,3.262078,3.590481,3.776808,3.830747,3.513884,3.614124
