time,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
06/01/2017 00:00:00,13.232812,11.715209,10.921056,10.497253,10.228535,10.098056,10.041963,10.010383,9.995377,9.998831,9.994043,10.004459,10.028856,10.086836,10.228535,10.556881,11.116645,12.218615,13.998856,14.923058
06/02/2017 00:00:00,14.45186,13.365027,12.142007,11.070821,10.455305,10.210772,10.094627,10.026112,10.000463,9.999583,9.993345,10.001891,10.014806,10.060041,10.181071,10.448577,10.946176,12.043013,13.853295,15.061249
06/03/2017 00:00:00,14.162094,13.877542,12.645061,11.338709,10.604684,10.307385,10.147799,10.052118,10.013404,10.002743,9.993332,10.00115,10.007814,10.043078,10.133046,10.319976,10.683026,11.504257,12.785105,13.82925
06/04/2017 00:00:00,14.417559,14.561552,13.840261,12.757896,11.733469,10.897515,10.374948,10.152833,10.053844,10.013518,9.996739,10.00054,10.004021,10.033769,10.109204,10.274373,10.609783,11.373809,12.583062,13.733948
06/05/2017 00:00:00,13.624243,13.598244,13.322202,12.797627,11.963738,11.09223,10.51312,10.236991,10.094062,10.03437,10.006096,10.001734,10.002167,10.026562,10.09212,10.237515,10.531163,11.231903,12.350676,13.309807
06/06/2017 00:00:00,13.544409,13.531525,13.264355,12.879783,12.60222,12.341303,11.672685,10.807196,10.289761,10.120145,10.034877,10.009549,10.003001,10.019899,10.079538,10.208022,10.476904,11.169058,12.295311,13.245822
06/07/2017 00:00:00,13.36056,13.16896,12.346609,11.603392,11.602647,12.109361,11.842847,10.971138,10.415873,10.193155,10.065696,10.027437,10.00879,10.016866,10.070778,10.140564,10.318009,10.981487,12.140525,13.091418
06/08/2017 00:00:00,13.15125,13.107584,12.292831,11.514932,11.467187,11.999911,12.300728,12.176689,11.539675,10.674521,10.222555,10.096918,10.026756,10.019835,10.060998,10.099319,10.227991,10.805027,11.8254,12.726955
06/09/2017 00:00:00,12.751912,13.033137,12.25617,11.295834,10.785232,10.747758,11.199738,11.936954,11.704185,10.827184,10.340197,10.155784,10.050899,10.031961,10.051386,10.08261,10.194849,10.605463,11.292813,12.047353
06/10/2017 00:00:00,12.442151,13.011548,12.282564,11.291793,10.731969,10.638268,11.042934,11.814715,12.222661,12.095959,11.347338,10.517309,10.175807,10.083489,10.053395,10.075584,10.173068,10.443849,10.883009,11.539179
06/11/2017 00:00:00,12.237932,13.001041,12.295657,11.274026,10.67297,10.438132,10.379247,10.537339,11.16883,11.966585,11.515722,10.664011,10.280271,10.128504,10.066984,10.076974,10.153646,10.327601,10.61702,11.219374
06/12/2017 00:00:00,12.197365,12.997124,12.475969,11.574219,10.922551,10.517757,10.312386,10.412171,11.011237,11.881013,12.21629,11.990173,11.124841,10.400517,10.170669,10.116325,10.155478,10.308935,10.581449,11.177017
