time,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102
01/03/2016 00:00:00,-0.665983,-0.590927,-0.662611,-0.568258,-0.607282,-0.377664,-0.510235,-0.63546,-0.111558,-0.185744,-0.190995,0.039885,0.125987,0.178302,0.110069,0.157183,0.253184,-0.159802,0.117253,0.033955,0.105592,-0.101781,-0.03838,-0.039743,-0.02115,-0.088657,-0.095379,-0.104954,-0.101373,-0.002397,-0.335601,-0.207859,-0.239697,-0.227249,-0.17548,-0.558548,-0.270161,-1.263691,-0.573099,-0.427216,-1.238812,-1.236159,-1.033411,-0.54545,-0.56711,-0.788961,-0.373412,-0.384329,-0.253769,-0.078166,-0.200525,-0.100778,0.042036,0.08939,0.075986,0.08397,0.026152,0.076202,0.091664,0.124915,-0.011234,0.174827,0.104102,0.097046,0.077269,0.036604,0.078008,0.056727,-0.037183,-0.029334,0.067633,-0.088356,-0.11328,0.031324,-0.372202,-0.014347,-0.25222,-0.130606,-0.174229,-0.332144,-0.098594,-0.117995,-0.003817,-0.01024,-0.267058,0.018665,-0.072976,-0.164682,0.04759,-0.069152,-0.030385,-0.103891,-0.119551,-0.141462,-0.170656,-0.202695,-0.388574,-0.446293,-0.160376,-1.301154,-0.665983,-0.590927,-0.662611
01/04/2016 00:00:00,-0.677281,-0.599696,-0.653495,-0.562698,-0.598548,-0.376973,-0.502402,-0.649089,-0.133175,-0.189973,-0.197714,0.055918,0.136402,0.191947,0.110879,0.153524,0.24494,-0.150617,0.113593,0.03519,0.104956,-0.097729,-0.042274,-0.034495,-0.022702,-0.089472,-0.095427,-0.111944,-0.098507,-0.003967,-0.329695,-0.203451,-0.235446,-0.221125,-0.173951,-0.550264,-0.270662,-1.264937,-0.585798,-0.441154,-1.228405,-1.224704,-1.030024,-0.556578,-0.584337,-0.793956,-0.365822,-0.378339,-0.245418,-0.077265,-0.193942,-0.096562,0.043343,0.093004,0.072424,0.081351,0.026798,0.076096,0.091905,0.124433,-0.006821,0.172468,0.103869,0.096298,0.077218,0.036682,0.075518,0.052275,-0.03209,-0.026517,0.067091,-0.087145,-0.11225,0.024393,-0.370926,-0.014911,-0.245563,-0.134355,-0.182055,-0.332793,-0.099473,-0.116027,-0.009616,-0.018314,-0.259762,0.013551,-0.071719,-0.163119,0.042978,-0.07025,-0.029208,-0.103497,-0.117062,-0.138406,-0.168098,-0.201856,-0.387755,-0.446258,-0.171683,-1.305858,-0.677281,-0.599696,-0.653495
01/05/2016 00:00:00,-0.68862,-0.608518,-0.644244,-0.557115,-0.589814,-0.376277,-0.494534,-0.662748,-0.154863,-0.194167,-0.204663,0.072414,0.14687,0.205592,0.111691,0.149858,0.236696,-0.141432,0.10993,0.036425,0.104319,-0.093679,-0.046172,-0.029246,-0.024259,-0.09029,-0.095477,-0.118933,-0.095637,-0.005536,-0.323791,-0.199043,-0.23119,-0.21497,-0.172402,-0.541923,-0.27113,-1.266219,-0.598497,-0.455093,-1.217974,-1.213254,-1.026548,-0.567725,-0.601559,-0.798996,-0.358193,-0.372334,-0.23706,-0.076377,-0.187367,-0.092352,0.044647,0.096622,0.068865,0.078733,0.027443,0.07599,0.092147,0.123949,-0.002407,0.170109,0.103638,0.095551,0.077168,0.03676,0.073026,0.047822,-0.026997,-0.0237,0.066547,-0.085935,-0.111225,0.01746,-0.36965,-0.015476,-0.238903,-0.138112,-0.189882,-0.333439,-0.100346,-0.114055,-0.015412,-0.026404,-0.252445,0.008441,-0.070456,-0.161551,0.03837,-0.071342,-0.028025,-0.103101,-0.114573,-0.135355,-0.165547,-0.201026,-0.386943,-0.446232,-0.18299,-1.310536,-0.68862,-0.608518,-0.644244
01/06/2016 00:00:00,-0.699995,-0.617386,-0.634863,-0.55151,-0.58108,-0.375577,-0.486634,-0.676435,-0.176619,-0.19832,-0.211835,0.089361,0.157389,0.219237,0.112505,0.146187,0.228452,-0.132247,0.106265,0.037659,0.103682,-0.08963,-0.050074,-0.023997,-0.025819,-0.091111,-0.09553,-0.12592,-0.092762,-0.007103,-0.317888,-0.194635,-0.22693,-0.208787,-0.170835,-0.533529,-0.271567,-1.267539,-0.611195,-0.469029,-1.207522,-1.20181,-1.022984,-0.578889,-0.618777,-0.80408,-0.350526,-0.366317,-0.228696,-0.075504,-0.1808,-0.088148,0.04595,0.100244,0.06531,0.076116,0.028086,0.075883,0.092388,0.123466,0.00201,0.167751,0.103408,0.094806,0.077118,0.036839,0.070534,0.043369,-0.021904,-0.020885,0.066001,-0.084728,-0.110203,0.010525,-0.368375,-0.016041,-0.232241,-0.141876,-0.197707,-0.334082,-0.101214,-0.112078,-0.021206,-0.034509,-0.24511,0.003335,-0.069185,-0.15998,0.033767,-0.072428,-0.026835,-0.102703,-0.112086,-0.13231,-0.163003,-0.200204,-0.38614,-0.446214,-0.194295,-1.315189,-0.699995,-0.617386,-0.634863
01/07/2016 00:00:00,-0.711405,-0.626295,-0.625356,-0.545883,-0.572346,-0.374873,-0.478703,-0.690148,-0.198438,-0.202429,-0.219221,0.106747,0.167954,0.232881,0.113321,0.14251,0.220208,-0.123062,0.102598,0.038893,0.103044,-0.085583,-0.053979,-0.018748,-0.027382,-0.091934,-0.095586,-0.132908,-0.089884,-0.008669,-0.311986,-0.190228,-0.222666,-0.202576,-0.169249,-0.525084,-0.271972,-1.268895,-0.623893,-0.482962,-1.19705,-1.190372,-1.019335,-0.590066,-0.635991,-0.809207,-0.342826,-0.360289,-0.220327,-0.074645,-0.174241,-0.08395,0.047252,0.103868,0.061758,0.073499,0.028728,0.075776,0.092628,0.122981,0.006428,0.165393,0.103179,0.094061,0.077069,0.036917,0.068041,0.038915,-0.016811,-0.018071,0.065453,-0.083522,-0.109186,0.003588,-0.3671,-0.016606,-0.225576,-0.145649,-0.205533,-0.334722,-0.102076,-0.110097,-0.026998,-0.042627,-0.237757,-0.001768,-0.067907,-0.158404,0.029167,-0.073508,-0.02564,-0.102302,-0.1096,-0.12927,-0.160467,-0.19939,-0.385345,-0.446203,-0.2056,-1.319817,-0.711405,-0.626295,-0.625356
01/08/2016 00:00:00,-0.722847,-0.63524,-0.615728,-0.540236,-0.563612,-0.374165,-0.470744,-0.703887,-0.220317,-0.206489,-0.226812,0.124557,0.178564,0.246525,0.114139,0.138828,0.211964,-0.113876,0.098929,0.040126,0.102405,-0.081537,-0.057888,-0.013498,-0.02895,-0.092759,-0.095644,-0.139894,-0.087001,-0.010232,-0.306086,-0.185823,-0.2184,-0.19634,-0.167646,-0.516593,-0.272346,-1.270287,-0.636591,-0.496887,-1.18656,-1.17894,-1.015602,-0.601252,-0.653199,-0.814376,-0.335095,-0.354251,-0.211955,-0.073801,-0.167692,-0.079759,0.048552,0.107496,0.05821,0.070882,0.029369,0.075668,0.092868,0.122496,0.010848,0.163035,0.102952,0.093317,0.077021,0.036996,0.065547,0.034461,-0.011719,-0.015258,0.064903,-0.082319,-0.108173,-0.003351,-0.365825,-0.017173,-0.21891,-0.149428,-0.213357,-0.335359,-0.102933,-0.108111,-0.032786,-0.050756,-0.230387,-0.006867,-0.066623,-0.156825,0.024572,-0.074582,-0.024438,-0.101899,-0.107115,-0.126236,-0.157938,-0.198584,-0.384557,-0.446201,-0.216903,-1.324419,-0.722847,-0.63524,-0.615728
01/09/2016 00:00:00,-0.734318,-0.644213,-0.605983,-0.534569,-0.554878,-0.373452,-0.462758,-0.717648,-0.24225,-0.210495,-0.234598,0.142774,0.189215,0.260169,0.114959,0.135141,0.20372,-0.104691,0.095257,0.04136,0.101766,-0.077492,-0.0618,-0.008248,-0.03052,-0.093587,-0.095704,-0.146879,-0.084114,-0.011794,-0.300187,-0.181419,-0.214131,-0.190079,-0.166026,-0.508057,-0.272688,-1.271716,-0.649288,-0.510802,-1.176055,-1.167514,-1.011787,-0.612444,-0.670403,-0.819586,-0.327335,-0.348207,-0.203582,-0.072971,-0.161152,-0.075573,0.04985,0.111127,0.054665,0.068266,0.030009,0.075559,0.093107,0.122011,0.015269,0.160677,0.102726,0.092573,0.076974,0.037076,0.063053,0.030007,-0.006626,-0.012447,0.064351,-0.081117,-0.107164,-0.010292,-0.364551,-0.01774,-0.212242,-0.153215,-0.221182,-0.335994,-0.103784,-0.106122,-0.038571,-0.058895,-0.223001,-0.011961,-0.065333,-0.155242,0.019981,-0.075651,-0.02323,-0.101493,-0.10463,-0.123207,-0.155417,-0.197787,-0.383777,-0.446206,-0.228204,-1.328997,-0.734318,-0.644213,-0.605983
01/10/2016 00:00:00,-0.745816,-0.653209,-0.596127,-0.528884,-0.546143,-0.372736,-0.454747,-0.731431,-0.264236,-0.214442,-0.242567,0.161382,0.199906,0.273812,0.115781,0.13145,0.195476,-0.095506,0.091584,0.042592,0.101127,-0.073449,-0.065715,-0.002999,-0.032094,-0.094418,-0.095767,-0.153864,-0.081223,-0.013355,-0.294289,-0.177017,-0.209861,-0.183796,-0.16439,-0.499481,-0.272999,-1.273182,-0.661984,-0.524705,-1.165536,-1.156094,-1.007892,-0.623638,-0.687602,-0.824837,-0.319551,-0.342157,-0.195208,-0.072155,-0.154622,-0.071395,0.051147,0.114761,0.051124,0.06565,0.030647,0.07545,0.093347,0.121525,0.019692,0.15832,0.102502,0.091831,0.076927,0.037155,0.060558,0.025553,-0.001533,-0.009637,0.063797,-0.079918,-0.10616,-0.017235,-0.363278,-0.018307,-0.205573,-0.157009,-0.229006,-0.336626,-0.10463,-0.104128,-0.044353,-0.067042,-0.215601,-0.01705,-0.064036,-0.153656,0.015394,-0.076713,-0.022016,-0.101085,-0.102147,-0.120183,-0.152904,-0.196998,-0.383005,-0.446219,-0.239504,-1.33355,-0.745816,-0.653209,-0.596127
01/11/2016 00:00:00,-0.757338,-0.662221,-0.586164,-0.523181,-0.537409,-0.372016,-0.446712,-0.745236,-0.286269,-0.218327,-0.250707,0.180361,0.210632,0.287456,0.116604,0.127754,0.187231,-0.086321,0.087909,0.043825,0.100486,-0.069408,-0.069634,0.002251,-0.033671,-0.09525,-0.095832,-0.160847,-0.078328,-0.014914,-0.288393,-0.172616,-0.20559,-0.177492,-0.162737,-0.490867,-0.27328,-1.274684,-0.67468,-0.538594,-1.155005,-1.14468,-1.003919,-0.634832,-0.704795,-0.830128,-0.311744,-0.336104,-0.186836,-0.071353,-0.148103,-0.067222,0.052442,0.118398,0.047586,0.063035,0.031285,0.07534,0.093585,0.121039,0.024117,0.155964,0.102278,0.091089,0.076881,0.037235,0.058062,0.021098,0.003559,-0.006828,0.063242,-0.078721,-0.10516,-0.024179,-0.362005,-0.018876,-0.198902,-0.160809,-0.23683,-0.337254,-0.105471,-0.10213,-0.050131,-0.075195,-0.208186,-0.022134,-0.062732,-0.152066,0.010811,-0.07777,-0.020796,-0.100675,-0.099665,-0.117165,-0.150398,-0.196217,-0.382241,-0.44624,-0.250802,-1.338078,-0.757338,-0.662221,-0.586164
01/12/2016 00:00:00,-0.768882,-0.671245,-0.576101,-0.51746,-0.528674,-0.371292,-0.438655,-0.759059,-0.308345,-0.222144,-0.259006,0.199691,0.221391,0.301099,0.117429,0.124054,0.178986,-0.077136,0.084232,0.045057,0.099846,-0.065368,-0.073555,0.0075,-0.035252,-0.096085,-0.0959,-0.16783,-0.075429,-0.016471,-0.282498,-0.168218,-0.201319,-0.171169,-0.16107,-0.482219,-0.273529,-1.276223,-0.687374,-0.552466,-1.144465,-1.133272,-0.999869,-0.646021,-0.721983,-0.835457,-0.303918,-0.330048,-0.178466,-0.070565,-0.141595,-0.063056,0.053736,0.122038,0.044052,0.06042,0.031921,0.075229,0.093823,0.120552,0.028543,0.153608,0.102056,0.090349,0.076836,0.037315,0.055565,0.016643,0.008652,-0.004021,0.062685,-0.077526,-0.104165,-0.031124,-0.360732,-0.019444,-0.19223,-0.164616,-0.244653,-0.337881,-0.106306,-0.100127,-0.055906,-0.083354,-0.200759,-0.027214,-0.061423,-0.150472,0.006234,-0.07882,-0.01957,-0.100262,-0.097183,-0.114153,-0.147899,-0.195445,-0.381484,-0.446269,-0.262099,-1.342581,-0.768882,-0.671245,-0.576101
